 ,Time,Time,Place,Place,Place,Place,Place,Place,Place,Environment,Environment,Environment,Environment,Environment,Environment,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Component,Component,Component,Component,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Person 1,Person 1,Person 1,Person 1,Person 1,Person 1,Person 1,Person 1,Person 1,Person 1,Person 1,Person 2,Person 2,Person 2,Person 2,Person 2,Person 2,Person 2,Person 2,Person 2,Person 2,Person 2,Events,Events,Events,Events,Events,Events,Assessments,Assessments,Report 1,Report 1,Report 2,Report 2,Report 1,
ACN,Date,Local Time Of Day,Locale Reference,State Reference,Relative Position.Angle.Radial,Relative Position.Distance.Nautical Miles,Altitude.AGL.Single Value,Altitude.MSL.Single Value,Latitude / Longitude (UAS),Flight Conditions,Weather Elements / Visibility,Work Environment Factor,Light,Ceiling,RVR.Single Value,ATC / Advisory,Aircraft Operator,Make Model Name,Aircraft Zone,Crew Size,Operating Under FAR Part,Flight Plan,Mission,Nav In Use,Flight Phase,Route In Use,Airspace,Maintenance Status.Maintenance Deferred,Maintenance Status.Records Complete,Maintenance Status.Released For Service,Maintenance Status.Required / Correct Doc On Board,Maintenance Status.Maintenance Type,Maintenance Status.Maintenance Items Involved,Cabin Lighting,Number Of Seats.Number,Passengers On Board.Number,Crew Size Flight Attendant.Number Of Crew,Airspace Authorization Provider (UAS),Operating Under Waivers / Exemptions / Authorizations (UAS),Waivers / Exemptions / Authorizations (UAS),Airworthiness Certification (UAS),Weight Category (UAS),Configuration (UAS),Flight Operated As (UAS),Flight Operated with Visual Observer (UAS),Control Mode (UAS),Flying In / Near / Over (UAS),Passenger Capable (UAS),Type (UAS),Number of UAS Being Controlled (UAS),Aircraft Component,Manufacturer,Aircraft Reference,Problem,ATC / Advisory,Aircraft Operator,Make Model Name,Aircraft Zone,Crew Size,Operating Under FAR Part,Flight Plan,Mission,Nav In Use,Flight Phase,Route In Use,Airspace,Maintenance Status.Maintenance Deferred,Maintenance Status.Records Complete,Maintenance Status.Released For Service,Maintenance Status.Required / Correct Doc On Board,Maintenance Status.Maintenance Type,Maintenance Status.Maintenance Items Involved,Cabin Lighting,Number Of Seats.Number,Passengers On Board.Number,Crew Size Flight Attendant.Number Of Crew,Airspace Authorization Provider (UAS),Operating Under Waivers / Exemptions / Authorizations (UAS),Waivers / Exemptions / Authorizations (UAS),Airworthiness Certification (UAS),Weight Category (UAS),Configuration (UAS),Flight Operated As (UAS),Flight Operated with Visual Observer (UAS),Control Mode (UAS),Flying In / Near / Over (UAS),Passenger Capable (UAS),Type (UAS),Number of UAS Being Controlled (UAS),Location Of Person,Location In Aircraft,Reporter Organization,Function,Qualification,Experience,Cabin Activity,Human Factors,Communication Breakdown,UAS Communication Breakdown,ASRS Report Number.Accession Number,Location Of Person,Location In Aircraft,Reporter Organization,Function,Qualification,Experience,Cabin Activity,Human Factors,Communication Breakdown,UAS Communication Breakdown,ASRS Report Number.Accession Number,Anomaly,Miss Distance,Were Passengers Involved In Event,Detector,When Detected,Result,Contributing Factors / Situations,Primary Problem,Narrative,Callback,Narrative,Callback,Synopsis,

1866927,202201,0601-1200,HPN.Airport,NY,,2,750,,,IMC,Rain; Fog; 6000,,Daylight,400,16,Tower HPN,Air Carrier,Medium Transport,,2,Part 135,IFR,Ferry / Re-Positioning,Localizer/Glideslope/ILS ILS 16,Final Approach,Vectors,Class C HPN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Aircraft X,Flight Deck,Air Taxi,Pilot Not Flying; First Officer,Flight Crew Instrument; Flight Crew Multiengine; Flight Crew Air Transport Pilot (ATP); Flight Crew Flight Instructor,Flight Crew Last 90 Days 85; Flight Crew Total 2435; Flight Crew Type 135,,Human-Machine Interface; Situational Awareness,,,1866927,,,,,,,,,,,,Deviation - Altitude Excursion From Assigned Altitude; Deviation - Speed All Types; Deviation / Discrepancy - Procedural Published Material / Policy; Deviation / Discrepancy - Procedural FAR; Deviation / Discrepancy - Procedural Clearance; Flight Deck / Cabin / Aircraft Event Other / Unknown; Inflight Event / Encounter Unstabilized Approach; Inflight Event / Encounter CFTT / CFIT,,,Automation Air Traffic Control; Automation Aircraft Terrain Warning; Person Air Traffic Control,In-flight,Air Traffic Control Issued Advisory / Alert; Flight Crew Took Evasive Action; Flight Crew Returned To Clearance; Flight Crew Executed Go Around / Missed Approach,Human Factors; Weather,Human Factors,"On Date at approximately XA:50 while working a trip as the First Officer and Pilot Monitoring from ZZZ to HPN; The Captain had an unstable approach going full deflection on the glide slope. During the approach into HPN; we were in IMC conditions. We were given the ILS 16. ATC vectored us onto the approach where the Captain armed the approach for an ILS 16. Continuing inbound the auto pilot did not capture the approach at that time. The Captain noticed the ILS was not captured; the LOC nor Glide Slope. I asked The Captain if we should perform a go around; he told me no. He tried to correct it by pressing V/S and manually putting our required descent rate in. This did not seem to work so the Captain discontinued the autopilot. The Captain proceeded to disconnect the autopilot in order to hand fly the aircraft to get it re-established on the approach. As he continued we ended up going full deflection on the glide slope. At approximately 750ft MSL and 2NM from 16 runways threshold. Tower advised we were not on the LOC and asked us if we had the correct altimeter in; which we did. Ceilings were at 400ft and visibility was around 1600ft. The tower advised we were low and we needed to go around. I advised the tower we were going around. As we initiated the go around we got a GPWS warning. We were given an assigned heading and altitude during the go around. The Captain may have exceeded airspeed limits in the D airspace going approximately 250knots before slowing. We performed the go around safely and completed checklists. We were able to get vectored back around to shoot the approach again. We loaded the ILS 16 and shot the approach for the second time. We loaded the approach which then activated properly following the localizer and glide slope. We were able to get out of IMC conditions before minimums and had sight of the Runway. The Captain disconnected the autopilot and landed the aircraft safely at HPN.",,,,"First Officer reported Captain flew an unstable approach resulting in GPWS alert and late go around to a landing.",
1867321,202201,1201-1800,ZZZ.TRACON,US,,,,,,VMC,,,,,,TRACON ZZZ,Air Carrier,Commercial Fixed Wing,,2,Part 121,IFR,Passenger,,Initial Approach,Visual Approach; Vectors,Class B ZZZ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Aircraft X,Flight Deck,Air Carrier,Pilot Not Flying; First Officer,Flight Crew Multiengine; Flight Crew Instrument; Flight Crew Air Transport Pilot (ATP),,,Time Pressure; Workload; Distraction; Situational Awareness,,,1867321,,,,,,,,,,,,ATC Issue All Types; Deviation - Speed All Types; Deviation / Discrepancy - Procedural Published Material / Policy; Inflight Event / Encounter CFTT / CFIT; Inflight Event / Encounter Unstabilized Approach,,,Person Flight Crew,In-flight,Air Traffic Control Issued New Clearance; Flight Crew Requested ATC Assistance / Clarification; Flight Crew Executed Go Around / Missed Approach,Human Factors; Procedure,Human Factors,"We were being vectored for a visual approach to Runway XX at ZZZ The weather was VMC with good visibility and winds were out of the west at approximately 15 knts. I was the Pilot Monitoring and the Captain (CA) was the Pilot Flying. The last vector required a bit of a tight turn to final. We were configured flaps 2; 170 kts. and the gear down turning to final; with the approach armed and all automation engaged. During the turn; the CA managed speed and we continued with the flap configuration. About halfway through the turn; I noticed the hook rising and the autothrust was slow to spool. We got the 'SPEED SPEED' aural alert. At this time; the CA disconnected the autopilot and we performed a soft go-around. I informed ATC that we were going around because we were going to be a little high. ATC provided us vectors for another approach. Since we were above 1000 ft. we elected to remain configured to for the vectors for another final. On the base turn; we were pretty close to ZZZZZ. The CA started a descent to 1500 ft. I stated that the altitude at ZZZ was 1900 ft. At about 1700 ft.; ATC stated that they had a low altitude alert. We started the climb back up and intercepted the glide path. At 1000 ft.; the CA decided the automation wasn't providing satisfactory performance so he disconnected the autopilot and autothrust and continued the approach by hand flying. All checklists were complete. I verified all paramaters were stable at 500 ft. and we continued the landing. I believe that the tight turn to final and shorter than normal vectors contributed to the low speed event. The event very likely would have been prevented by requesting a longer downwind/base turn on the final approach. Worthy of note; I was surprised at how slowly the autothrust was responding to the demand. In X years and 3;700 hours on the airplane; I hadn't experienced that much of a 'lag.' That said; I fully acknowledge that we didn't help ourselves in anyway accepting short vectors. There was certainly some startle factor as well. I should have been more assertive with the CA and ATC in requesting a longer final. We were a heavy; it was a little windy; and the traffic in the area was light at the time. In the past; I have asked for longer finals if I felt that the vectors were going to be tight for the aircraft performance and configuration. I'm honestly not sure why I didn't this time. I know better. Going forward; I will be much more assertive with the crew and ATC if I see potential for a similar scenario developing. I see no reason to ever accept a vector that close to the FAF.",,,,"Air Carrier First Officer reported they initiated a go around when ATC issued vectors to final too close to the airport resulting in a low speed warning and unstable approach.  During the subsequent approach the Captain descended below glidepath resulting in a Low Altitude Alert from ATC but were able to recover and land.",
1868999,202201,1201-1800,ZZZ.Airport,US,150,1,300,,,,,,Dusk,,,,Air Carrier,Large Transport; Low Wing; 2 Turbojet Eng,,2,Part 121,IFR,Passenger,,Initial Approach,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Aircraft X,Flight Deck,Air Carrier,First Officer; Pilot Flying,Flight Crew Air Transport Pilot (ATP); Flight Crew Instrument; Flight Crew Multiengine,Flight Crew Last 90 Days 270; Flight Crew Type 3500,,Situational Awareness,,,1868999,Aircraft X,Flight Deck,Air Carrier,Captain; Pilot Not Flying,Flight Crew Air Transport Pilot (ATP); Flight Crew Instrument; Flight Crew Multiengine,Flight Crew Last 90 Days 200; Flight Crew Type 12000,,Situational Awareness,,,1869006,Deviation / Discrepancy - Procedural Published Material / Policy; Inflight Event / Encounter CFTT / CFIT; Inflight Event / Encounter Unstabilized Approach; Inflight Event / Encounter Weather / Turbulence,,,Automation Aircraft Terrain Warning; Person Flight Crew,In-flight,Flight Crew Became Reoriented,Human Factors; Weather,Human Factors,"We were on Short final Runway XX at ZZZ. The ATIS was reporting WINDSHEAR ADVSRY. We were experiencing a mostly steady crosswind that was decreasing in magnitude as we made our descent. I was the Pilot Flying and upon disconnecting the autopilot at 500 ft.; I immediately started to drift above glideslope. In correcting; I over compensated; resulting in GPWS Alerts 'SINK RATE' 'GLIDE SLOPE' and 'PULL UP'. By this time we were in the runway environment; with what seemed like good corrections; slightly low on glideslope over the threshold. Thinking as I entered the crosswind flare I had made good corrections; we touched down in the Touchdown Zone safely. After landing we realized we should have executed a terrain avoidance maneuver with the Pull Up Warning.I was not prepared mentally to see that Warning in that context. I was more anticipating a Windshear Alert in that scenario and was surprised at the Pull Up Warning. I hesitated and followed through with the landing when I should have executed the terrain avoidance maneuver.",,"FO (First Officer) received a glideslope and Sink Rate Caution on final during a turbulent visual approach. As he was positively correcting; I saw a 'PULL UP' flash in the HGS; and then it was gone. I was waiting for the aural pull up cue; but it never came. I allowed the approach to continue because he was actively correcting the sink rate; and since there was no audio Pull Up Warning; I thought it was a momentary fluke of the system.After debriefing it; we decided on this report: Were we right in continuing; because there was no audible Pull Up Warning? We are not sure.",,"Air carrier Flight Crew reported GPWS warning on approach to landing.",
1871703,202201,0001-0600,ZZZ.Airport,US,,,,2000,,VMC,,,Night,,,Tower ZZZ,Air Carrier,EMB ERJ 170/175 ER/LR,,,Part 121,IFR,Passenger,,Initial Approach,Vectors,Class B ZZZ,,,,,,,,,,,,,,,,,,,,,,,,Leading Edge Slat,,X,Malfunctioning,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Aircraft X,Flight Deck,Air Carrier,Captain; Pilot Flying,Flight Crew Multiengine; Flight Crew Air Transport Pilot (ATP); Flight Crew Instrument,,,Situational Awareness; Troubleshooting; Communication Breakdown; Confusion,Party1 Flight Crew; Party2 Flight Crew,,1871703,,,,,,,,,,,,Aircraft Equipment Problem Critical; Deviation / Discrepancy - Procedural Published Material / Policy; Deviation / Discrepancy - Procedural FAR; Inflight Event / Encounter Unstabilized Approach,,N,Automation Aircraft Other Automation; Person Flight Crew,In-flight,Air Traffic Control Provided Assistance; Flight Crew Landed As Precaution; Flight Crew Became Reoriented; Flight Crew Overcame Equipment Problem; Flight Crew Took Evasive Action; Flight Crew Requested ATC Assistance / Clarification; General Maintenance Action,Aircraft; Procedure; Human Factors,Aircraft,"While on approach to Runway XX at ZZZ upon gear down and flaps five selected we received an oral caution alarm. I the Flying Pilot immediately looked down with the corner of my eye and saw Amber dashes and 3 surrounded by Amber boxes on both slat/flap. I was expecting to see an EICAS message of slap or flat fail instead I saw wind shear fail and ground proximity fail. At this time I deviated from the normal go around procedures by hitting altitude hold. I told the First Officer the Non-Flying Pilot inform ATC we were going around. I might have the sequence wrong because everything happened fairly quick so I don't recall if at that point it is when the auto pilot and auto throttles fail or if ATC told us to climb and maintain 2;000 ft. came first. Regardless that's when I hit TOGA the oral unit started going off stating go around throttles not in TOGA. My first concern was since I was now hand flying and we were only a few hundred feet from 2;000 ft. I intentionally held back the thrust levers so we wouldn't go through the altitude. I will admit I got a little bit behind the power curve because first I was having to hand fly the go around and second I was confused why a flap/slat fail message was not showing up when we had amber dashes and #3 in boxes and the EICAS messages we were receiving had nothing to do with a slat flaps fail. This caused me to delay the standard call outs; when we were instructed by ATC to climb and maintain 3;000 ft. The Non-Flying Pilot was a great help and assisted in the stander call out and as we cleaned up the aircraft and all the messages and amber boxes went away. Since there were no more messages and therefore no QRH checklist to run we circled around executed another approach configured early and the second approach and landing was uneventful.",,,,"Captain reported EICAS messages did not match the diagnosed Flap/Slat systems failure and elected to perform a go around. After retracting the flaps/slats; the EICAS messages disappeared and a normal approach and landing were made.",
1872133,202201,0001-0600,BDL.Tower,CT,,,,,,VMC,,,,,,,Air Carrier,Commercial Fixed Wing,,2,Part 121,IFR,Cargo / Freight / Delivery,,Initial Approach,,Class C BDL,,,,,,,,,,,,,,,,,,,,,,,,Navigational Equipment and Processing,,X,Malfunctioning,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Aircraft X,Flight Deck,Air Carrier,Pilot Not Flying; Captain,Flight Crew Instrument; Flight Crew Air Transport Pilot (ATP); Flight Crew Multiengine,,,Troubleshooting,,,1872133,,,,,,,,,,,,Aircraft Equipment Problem Less Severe; Deviation / Discrepancy - Procedural Published Material / Policy; Deviation / Discrepancy - Procedural FAR; Inflight Event / Encounter Unstabilized Approach,,,Automation Aircraft Other Automation; Person Flight Crew,In-flight,Flight Crew Overrode Automation; Flight Crew Overcame Equipment Problem,Aircraft; Environment - Non Weather Related,Ambiguous,"Intercepting Final for Visual Runway 24 at BDL; leveling at 2100 MSL; APP armed with localizer capture aircraft seemed to capture G/S as aircraft began descending received Caution and EICAS 'Autopilot' message; GS on PFD had amber line through it; PF (Pilot Flying) disconnected A/P recaptured G/S manually by adding power to shallow descent; (we were half dot low and descending) Amber bar disappeared from G/S roll mode; EICAS Autopilot message extinguished; PM (Pilot Monitoring) re-engaged A/P; all 3 A/P's engaged and Autoland Status showed LAND 3; Approach continued without further incident. Possible 5G interference.",,,,"Air carrier Captain reported that after glide slope capture an EICAS autopilot message appeared and the glide slope display indicated loss of capture as the aircraft continued to descend. The Pilot Flying disconnected the autopilot and manually recaptured the glide slope to continue the approach.",
1873602,202201,0001-0600,RNO.Tower,NV,,,,200,,VMC,,,,,,Tower RNO,Air Carrier,Medium Large Transport; Low Wing; 2 Turbojet Eng,,2,Part 121,IFR,Passenger,Localizer/Glideslope/ILS ILS Z 16R,Initial Approach,,Class C RNO,,,,,,,,,,,,,,,,,,,,,,,,Radio Altimeter,,X,Malfunctioning,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Aircraft X,Flight Deck,Air Carrier,Pilot Flying; Captain,Flight Crew Multiengine; Flight Crew Air Transport Pilot (ATP); Flight Crew Instrument,,,Workload; Troubleshooting; Distraction; Confusion; Human-Machine Interface,,,1873602,,,,,,,,,,,,Aircraft Equipment Problem Less Severe; Deviation / Discrepancy - Procedural Published Material / Policy; Inflight Event / Encounter Unstabilized Approach,,,Person Flight Crew,In-flight,,Environment - Non Weather Related; Software and Automation; Aircraft,Ambiguous,"We were visual with the runway and flying the ILS Z 16R; after Glideslope intercept; the Localizer course in the HUD started to flutter from side to side but never lost signal. At approximately 200 ft. the Radio altimeter in the HUD also blinked a few times; but never lost signal. All altitude call outs were normal; 100; 50; 40; 30 20 10 ft. I did not write up anything in the AML; but did contact Tower to relay what we experienced to see if they were having any issues with the ILS. At no time did I feel the approach was unstable or not safe because we were VFR with the runway. However; given the 5G issues; If we were flying a CAT III approach I would have executed a GO AROUND because the ILS signal did appear slightly unstable. This is a hard event to describe because no instrument failures or equipment failures occurred. It just wasn't normal! The ILS signal appeared slightly unstable; but reliable. Again we were VFR so continued the approach.  The fluttering from side to side was no more then 2 degrees. A better word to describe the fluttering maybe vibrating from side to side in a rapid motion all the time staying within the localizer course. The blinking of the Radio Altimeter was also rapid and less then a second between and only happened a couple of times. First Officer as far as I can recall did not notice anything on the Dual Cue or the PFD. Only in the HUD. It just wasn't normal. No real suggestions because I cannot point to an instrument or signal failure. It just wasn't normal. But at no time was it unsafe.",,,,"Air Carrier Captain reported the Radio Altimeter display on their Heads Up Display blinked and they received an unstable ILS signal while on approach.",
1874010,202202,0601-1200,DCA.Airport,DC,,,,,,,,,,,,Tower DCA,Air Carrier,Medium Transport; Low Wing; 2 Turbojet Eng,,2,Part 121,IFR,Passenger,,Final Approach,,Class B DCA,,,,,,,,,,,,,,,,,,,,,,,,Autopilot,,X,Malfunctioning,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Aircraft X,Flight Deck,Air Carrier,Captain; Pilot Flying,Flight Crew Air Transport Pilot (ATP),,,,,,1874010,,,,,,,,,,,,Aircraft Equipment Problem Less Severe; Inflight Event / Encounter Unstabilized Approach,,,Person Flight Crew,In-flight,Flight Crew Overcame Equipment Problem,Aircraft; Environment - Non Weather Related,Ambiguous,"The flight to DCA was uneventful till about 5 miles on final. We had a constant tail wind on the approach around 30-40 kts. Approach was conducted on autopilot. We broke off around 1400-1800 ft. and continued in marginal VMC. After we passed 1000 ft. in stable conditions I noticed that aircraft slowly and then more aggressively starting to pitch down and vertical speed suddenly increasing from 800-900 ft/min to 1200-1800 ft/min. I was hoping that autopilot would correct this pitch down moment; but it didn't respond as I expected. I disconnected autopilot and stabilized path and speed before 500 ft. AGL. The rest of the of the approach and landing was uneventful. I would think that there was a combination of factors of the strong tailwind and some interference from the ground facilities. I am not sure if 5G interference played a role in this approach. I hope my case was a single event today; but if there were numerous aircraft affected on the approach this day; it should be investigated.",,,,"Air carrier Captain reported autopilot issues on final approach at DCA; citing 5G interference as possibly contributing.",
1874863,202202,1801-2400,ZZZ.Tower,US,,,,2000,,VMC,,,Night,,,Tower ZZZ,Air Carrier,Medium Large Transport,,2,Part 121,IFR,Passenger,,Initial Approach,,Class D ZZZ,,,,,,,,,,,,,,,,,,,,,,,,INS / IRS / IRU,,X,Malfunctioning,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Aircraft X,Flight Deck,Air Carrier,Captain; Pilot Not Flying,Flight Crew Air Transport Pilot (ATP); Flight Crew Multiengine; Flight Crew Instrument; Flight Crew Commercial,,,Distraction; Human-Machine Interface; Troubleshooting; Workload; Confusion,,,1874863,,,,,,,,,,,,Aircraft Equipment Problem Less Severe; Inflight Event / Encounter CFTT / CFIT; Inflight Event / Encounter Unstabilized Approach,,,Automation Aircraft Terrain Warning; Person Flight Crew,In-flight,Air Traffic Control Issued New Clearance; Air Traffic Control Provided Assistance; Flight Crew Overcame Equipment Problem; Flight Crew Requested ATC Assistance / Clarification; Flight Crew Became Reoriented,Aircraft; Airspace Structure; Equipment / Tooling; Procedure; Software and Automation,Aircraft,"During the flight from ZZZ1 to ZZZ; we received Ground Proximity Warning System (EGPWS) Terrain; Terrain; Pull Up; annunciator on the right downwind about to turn to base for the visual to Runway XXL at ZZZ right after ATC approved us for the visual. This flight was at night with clear sky and runway insight. We received the Terrain; Terrain; Pull Up alert approximately abeam midpoint between IF (Initial Fix) and FAF (Final Approach Fix) at above 2000 ft within about 3NM on the right downwind. The pilot flying (FO) immediately responded to the alert by clicking the Autopilot off and followed the appropriate recovery procedure. As soon as the pilot flying initiated the recovery procedure the alert was eliminated. Both pilot flying (FO) and pilot monitoring (CA) looked outside and we had no visual of any terrain. As a result of this alert; we were unstable for the approach and we made a decision to terminate the approach and get radar vectors for another attempt for the RNAV (GPS) Runway XXL. ATC; began to give us radar vectors to the right downwind with a descent to 3000 ft. At 3000 ft on the right downwind we received another brief Terrain; Terrain; Pull Up; annunciator. The pilot flying immediately initiated the recovery procedure and the alert was immediately eliminated. Pilot monitoring asked ATC if there is any known terrain at our current position and altitude or if anyone has reported [a] similar alert. ATC informed us there was no terrain and no reports. The pilot monitoring noticed IRS REVERTED white message on the PFD during the Terrain; Terrain; Pull Up; annunciator and repositioned the aircraft coordinates not certain if this would have caused the Terrain; Terrain; Pull Up alert. We continued the approach and landed safely with no further issues. ATC stated they will disseminate the information to identify if there is any known issue. Possibly address the IRS issue if it was related to the false alert. Also; it might be related to the 5G interference and need further look into.",,,,"An air carrier Captain reported receiving Terrain Alerts on downwind on two approaches even though they were at altitudes above terrain and as assigned from ATC.  The alerts caused an unstable approach requiring a go around.",
