 ,Time,Time,Place,Place,Place,Place,Place,Place,Place,Environment,Environment,Environment,Environment,Environment,Environment,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Component,Component,Component,Component,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Person 1,Person 1,Person 1,Person 1,Person 1,Person 1,Person 1,Person 1,Person 1,Person 1,Person 1,Person 2,Person 2,Person 2,Person 2,Person 2,Person 2,Person 2,Person 2,Person 2,Person 2,Person 2,Events,Events,Events,Events,Events,Events,Assessments,Assessments,Report 1,Report 1,Report 2,Report 2,Report 1,
ACN,Date,Local Time Of Day,Locale Reference,State Reference,Relative Position.Angle.Radial,Relative Position.Distance.Nautical Miles,Altitude.AGL.Single Value,Altitude.MSL.Single Value,Latitude / Longitude (UAS),Flight Conditions,Weather Elements / Visibility,Work Environment Factor,Light,Ceiling,RVR.Single Value,ATC / Advisory,Aircraft Operator,Make Model Name,Aircraft Zone,Crew Size,Operating Under FAR Part,Flight Plan,Mission,Nav In Use,Flight Phase,Route In Use,Airspace,Maintenance Status.Maintenance Deferred,Maintenance Status.Records Complete,Maintenance Status.Released For Service,Maintenance Status.Required / Correct Doc On Board,Maintenance Status.Maintenance Type,Maintenance Status.Maintenance Items Involved,Cabin Lighting,Number Of Seats.Number,Passengers On Board.Number,Crew Size Flight Attendant.Number Of Crew,Airspace Authorization Provider (UAS),Operating Under Waivers / Exemptions / Authorizations (UAS),Waivers / Exemptions / Authorizations (UAS),Airworthiness Certification (UAS),Weight Category (UAS),Configuration (UAS),Flight Operated As (UAS),Flight Operated with Visual Observer (UAS),Control Mode (UAS),Flying In / Near / Over (UAS),Passenger Capable (UAS),Type (UAS),Number of UAS Being Controlled (UAS),Aircraft Component,Manufacturer,Aircraft Reference,Problem,ATC / Advisory,Aircraft Operator,Make Model Name,Aircraft Zone,Crew Size,Operating Under FAR Part,Flight Plan,Mission,Nav In Use,Flight Phase,Route In Use,Airspace,Maintenance Status.Maintenance Deferred,Maintenance Status.Records Complete,Maintenance Status.Released For Service,Maintenance Status.Required / Correct Doc On Board,Maintenance Status.Maintenance Type,Maintenance Status.Maintenance Items Involved,Cabin Lighting,Number Of Seats.Number,Passengers On Board.Number,Crew Size Flight Attendant.Number Of Crew,Airspace Authorization Provider (UAS),Operating Under Waivers / Exemptions / Authorizations (UAS),Waivers / Exemptions / Authorizations (UAS),Airworthiness Certification (UAS),Weight Category (UAS),Configuration (UAS),Flight Operated As (UAS),Flight Operated with Visual Observer (UAS),Control Mode (UAS),Flying In / Near / Over (UAS),Passenger Capable (UAS),Type (UAS),Number of UAS Being Controlled (UAS),Location Of Person,Location In Aircraft,Reporter Organization,Function,Qualification,Experience,Cabin Activity,Human Factors,Communication Breakdown,UAS Communication Breakdown,ASRS Report Number.Accession Number,Location Of Person,Location In Aircraft,Reporter Organization,Function,Qualification,Experience,Cabin Activity,Human Factors,Communication Breakdown,UAS Communication Breakdown,ASRS Report Number.Accession Number,Anomaly,Miss Distance,Were Passengers Involved In Event,Detector,When Detected,Result,Contributing Factors / Situations,Primary Problem,Narrative,Callback,Narrative,Callback,Synopsis,

1510138,201801,1801-2400,ZZZ.Airport,US,,,,,,VMC,Icing,,Night,,,TRACON ZZZ,Air Carrier,Regional Jet 200 ER/LR (CRJ200),,2,Part 121,IFR,Passenger,,Initial Approach,,Class C ZZZ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Aircraft X,Flight Deck,Air Carrier,Captain; Pilot Flying,Flight Crew Air Transport Pilot (ATP),,,Situational Awareness,,,1510138,Aircraft X,Flight Deck,Air Carrier,First Officer; Pilot Flying,Flight Crew Air Transport Pilot (ATP),,,Communication Breakdown,Party1 Flight Crew; Party2 Flight Crew,,1510654,ATC Issue All Types; Deviation - Speed All Types; Deviation / Discrepancy - Procedural Published Material / Policy; Inflight Event / Encounter Unstabilized Approach; Inflight Event / Encounter Weather / Turbulence,,,Person Flight Crew,In-flight,Air Traffic Control Provided Assistance; Flight Crew Became Reoriented; Flight Crew Regained Aircraft Control,Procedure,Procedure,"During descent into ZZZ; FO was keeping power in and spoilers out to keep power up enough for wing anti ice. This caused him to not slow down earlier. We were descending through clouds and light rain and accrued moderate rime during the descent. We made a pirep for this. FO was late therefore to reduce speed and had to do it while getting vectored onto the localizer. Also; vector given to us was through localizer which added further confusion. He reduced the power after I told him to slow and we got flaps and gear out as quickly as possible. FO has only been here since summer and I am on my second trip off of operating experience as a CA. I should have determined why he was waiting to slow and told him to simply reduce the power and not worry as much about keeping it up for the anti-ice. We were late to get stable on the approach. Then; we got a low speed cue and a brief shaker which cued us to the fact that the spoilers had been accidentally left out. At this point; we should have executed a go around. Given that I am so new; I still feel behind the airplane at times; especially when the FO is new and struggling and we are in a high workload environment. Next time I have an issue with an FO on an unstable approach I will call the go around.",,"[Report narrative contained no additional information.]",,"CRJ-200 flight crew reported that they kept the power up for de-icing causing the aircraft to be fast and unstable on approach.",
1510237,201801,1801-2400,ORD.Airport,IL,,,1000,,,VMC,,,,,,Tower ORD,Air Carrier,Regional Jet 700 ER/LR (CRJ700),,2,Part 121,IFR,Passenger,Localizer/Glideslope/ILS 28R,Initial Approach,,Class B ORD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Aircraft X,Flight Deck,Air Carrier,Pilot Flying,Flight Crew Air Transport Pilot (ATP),,,,,,1510237,,,,,,,,,,,,Aircraft Equipment Problem Less Severe; Deviation - Altitude Overshoot; Deviation / Discrepancy - Procedural Clearance; Ground Event / Encounter Other / Unknown; Inflight Event / Encounter Unstabilized Approach; Inflight Event / Encounter CFTT / CFIT,,,Person Flight Crew; Person Air Traffic Control,In-flight,Air Traffic Control Issued Advisory / Alert; Flight Crew Overcame Equipment Problem; Flight Crew Requested ATC Assistance / Clarification,Airspace Structure; Airport; ATC Equipment / Nav Facility / Buildings; Procedure,ATC Equipment / Nav Facility / Buildings,"We were on the ILS at approximately 1000 feet when tower cleared another aircraft to take off from an intersecting offset runway. We had broken out into VMC conditions right about 1000 feet. We had the autopilot coupled and when the other aircraft began it's takeoff roll; it must have obstructed the glideslope because our glideslope indication went down very quickly. The autopilot chased the glideslope with a rapid descent rate which caused an aural warning; 'sink rate'. I immediately disconnected the autopilot and hand flew the remainder of the approach to land. We regained stability by 850 feet. The Tower controller transmitted to check our altitude because he had gotten an alert as well. We landed the aircraft without incident. The cause of the incident was that we were landing on a non standard runway because of poor braking action on other runways while other aircraft were being launched off of an intersecting offset runway.I would suggest not allowing these operations to take place simultaneously.",,,,"CRJ700 pilot reported losing the ILS signal on approach due to an aircraft departing from an adjacent runway blocking the signal.",
1510704,201801,,MEM.Airport,US,,,,1500,,IMC,1,,,300,,Tower MEM,Air Carrier,Large Transport,,2,Part 121,IFR,Cargo / Freight / Delivery,FMS Or FMC,Final Approach,,Class B MEM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Aircraft X,Flight Deck,Air Carrier,Pilot Flying; First Officer,,,,Workload; Human-Machine Interface; Situational Awareness; Training / Qualification; Confusion,,,1510704,,,,,,,,,,,,Deviation - Altitude Overshoot; Deviation / Discrepancy - Procedural Clearance; Deviation / Discrepancy - Procedural Published Material / Policy; Inflight Event / Encounter Unstabilized Approach; Inflight Event / Encounter CFTT / CFIT,,,Automation Aircraft Terrain Warning; Person Flight Crew,In-flight,Air Traffic Control Issued New Clearance; Flight Crew Became Reoriented; Flight Crew Executed Go Around / Missed Approach; Flight Crew FLC complied w / Automation / Advisory; General Flight Cancelled / Delayed,Procedure; Human Factors,Human Factors,"Pilot flying failed to select approach tile when cleared for the approach; the aircraft subsequently failed to intercept the glide slope. The Pilot flying and Check Airman realized the error at approximately one dot above glide slope. The Pilot flying initially attempted to intercept the glide slope by disconnecting the autopilot and manually flying to the glide slope. The Check Airman suggested using vertical speed to accomplish the intercept. The Pilot flying reselected the autopilot on and selected vertical speed however he selected too high of a rate of descent.  Shortly afterward; the low altitude warning sounded for excessive rate of descent. The Pilot flying initiated a go around. On the go around the pilot flying failed to level off as directed at 3000 feet by approximately 400 feet. The subsequent approach and landing was uneventful.Failure to select the approach tile when cleared for the approach was the proximate cause of the unstable approach. Attempting to intercept the glide slope from above rather going around upon discovery of the failure to intercept the glide slope resulted in an unstable approach and necessitated the subsequent Go Around. Not accomplishing go around procedures (Selection of Flight change; Top Bug) most probably resulted in the altitude exceedance on go around.Suggestion: Select the approach tile when cleared for the approach. Go around rather than attempting an intercept from above glide slope. Strict adherence to Go Around procedures will result in proper altitude level off.",,,,"B757 First Officer reported they failed to select the approach tile when cleared for approach; which led to an unstable approach and then had an altitude excursion during the subsequent go-around.",
1510709,201801,1801-2400,MEM.Airport,TN,,,,2000,,IMC,Turbulence,,,,,TRACON M03,Air Carrier,Widebody Transport,,3,Part 121,IFR,Cargo / Freight / Delivery,FMS Or FMC,Initial Approach,,Class B MEM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Aircraft X,Flight Deck,Air Carrier,Relief Pilot; Pilot Not Flying; First Officer,,,,Situational Awareness,,,1510709,Aircraft X,Flight Deck,Air Carrier,Captain; Pilot Flying,Flight Crew Air Transport Pilot (ATP),,,Workload; Situational Awareness; Human-Machine Interface; Distraction,,,1510706,Deviation - Speed All Types; Deviation / Discrepancy - Procedural Clearance; Deviation / Discrepancy - Procedural Published Material / Policy; Inflight Event / Encounter CFTT / CFIT; Inflight Event / Encounter Unstabilized Approach,,,Person Flight Crew,In-flight,Air Traffic Control Issued Advisory / Alert; Flight Crew Became Reoriented; Flight Crew Executed Go Around / Missed Approach; Flight Crew Regained Aircraft Control; General Flight Cancelled / Delayed,Human Factors; Procedure,Human Factors,"We were on final approach when TRACON cancelled our approach clearance due to insufficient spacing with preceding aircraft (I think). The crew executed missed approach/go-around from approximately 2000 feet on final. Approach gave us a 090 heading (I think) and 3000 feet altitude. During the missed approach maneuver; the Captain disconnected the autopilot. At approximately 40 degrees through the turn we received the 'bank angle' (35 degrees) warning from the aircraft. The Captain corrected the bank angle situation and I began monitoring what the First Officer was doing (go around configuration) and crosschecking his FMAs. I then moved my scan to the MCP to crosscheck the approach tile; altitude and heading in the MCP.I then noticed that the bank angle (voice warning again) had again increased to approximately 45 degrees and we were descending while still IMC. I directed the Captain to correct the bank angle; which he did; rolled wings level on a southeast heading and climbed to 3000 feet. Once we were wings level and climbing; I focused my attention on the First Officer's attitude indicator and noticed that the airspeed had increased into the 'red over speed zipper.' I think I said 'airspeed' but I can't be sure because at this point I was more concerned that we didn't enter an unusual attitude again. We eventually got onto a 090 heading and 3000 feet wings level. The Approach Controller did notify us that we had triggered a 'low altitude warning' on their end. During debrief; the Captain stated that he thought we had 'bottomed out' at 1;700 feet on the recovery. The second approach and landing was uneventful.There was too tight of spacing with a lot of aircraft landing in Memphis. Temporary disorientation and task saturation at the end of a long flight. It was obvious that Approach was 'maxed out' with several aircraft recovering; with unusually high winds at 3-4000 feet and only two runways in a South configuration. We knew that the spacing was tight on the aircraft ahead of us. As a crew; we should have briefed the missed approach/go-around procedure 'just in case.' Believe it or not; a go-around at Decision Altitude; climbing straight ahead; flying the published missed seems easy. We train a lot for that. It's the missed approach from 2000 feet that seems to catch crews off guard. I think it's worth adding a section/procedure in the Flight Operation Manual; which addresses the go around from a 'cancelled approach clearance' when the aircraft isn't at Decision Altitude/MDA; and when the crew isn't going to fly the 'published missed approach.' It should include what the procedure is and at what point prior to entering 'app mode.' What is the MCP flow (deselect the app tile or not?) after the go-around items. What to do if the aircraft is in 'app mode.' These procedures have been part of the manuals in the past; but I can't seem to find where it is written in the Operations manual.",,"We received a low altitude go around approximately 1000 feet requested by ATC. We executed the go around by disconnecting the autopilot and got disoriented with monitoring activities on the glare-shield control panel. In the process; got into an unusual attitude including excessive bank and over speeding the flaps. We received a Low Altitude Alert from ATC but do not remember the altitude or the speed for the flap over speed. We recovered using unusual attitude recovery techniques from training. We returned for another approach and successful landing. Crew was debriefed extensively as well as maintenance. I was disoriented by trying to monitor too many things going on at once. Rapid transition to hand flying as autopilot commands in go around were not taking us where ATC wanted. Go around thrust was quite high and added to the confusion. I got rushed trying to do the right things as ATC was super overloaded and caused me to make mistakes possibly due to the fatigue caused by last leg of a long trip and an extensive duty day the day prior. I got great help from the First Officer and Relief First Officer backing up the calls and helping return the aircraft to stable flight.Suggestions: Do not rush the go around and leave the autopilot on if possible. Too much going on the approach environment and confusion only added to the problem.",,"Air carrier flight crew reported they received bank angle warnings; low altitude warning from ATC; and an over-speed warning while manually flying an ATC directed go-around.",
1510787,201801,1801-2400,ZZZ.Airport,US,,,,2000,,IMC,Fog; 2,,Night,400,,TRACON ZZZ,Personal,Beechcraft / Beech Aircraft Corp Undifferentiated or Other Model,,1,Part 91,IFR,Personal,,Initial Approach,Direct,Class D ZZZ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Aircraft X,Flight Deck,Personal,Single Pilot,Flight Crew Instrument; Flight Crew Flight Instructor; Flight Crew Commercial,Flight Crew Last 90 Days 100; Flight Crew Total 900; Flight Crew Type 125,,Communication Breakdown; Distraction,Party1 Flight Crew; Party2 ATC,,1510787,,,,,,,,,,,,Deviation - Altitude Excursion From Assigned Altitude; Deviation - Track / Heading All Types; Deviation / Discrepancy - Procedural Published Material / Policy; Deviation / Discrepancy - Procedural Clearance; Inflight Event / Encounter Unstabilized Approach,,,Person Flight Crew,In-flight,Flight Crew Returned To Clearance; Flight Crew Became Reoriented,Weather; Human Factors,Human Factors,"Assigned RNAV XX in IMC. Prior to approach clearance; given direct to [fix]. Approach clearance was cross [fix] (IF/IAF) at or above 2;000 feet; cleared RNAV XX. The approach clearance did not contain the 'straight-in' exception and required the hold-in-lieu to be flown. I failed to clarify with the controller if he expected a procedure turn or not. Furthermore; I left the autopilot in Vertical Speed mode; and did not engage Hold mode which allowed the altitude to go below the published minimum for that segment. I rushed the descent; became distracted and stopped using my approach checklist. This resulted in my deviations. Ultimately; I was behind the airplane. A request for a short delay vector; or the hold-in-lieu would have provided the additional time needed to stabilize everything.",,,,"Beechcraft pilot reported reported deviating from published altitude and being behind the airplane when cleared for the approach.",
1511658,201801,0601-1200,ZZZ.Airport,US,,,500,,,IMC,1.5,,Daylight,1000,,Tower ZZZ,Air Carrier,B737-800,,2,Part 121,IFR,Passenger,Localizer/Glideslope/ILS ILS RWY XX,Initial Approach,,Class B ZZZ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Aircraft X,Flight Deck,Air Carrier,First Officer; Pilot Not Flying,Flight Crew Air Transport Pilot (ATP),Flight Crew Last 90 Days 29,,Situational Awareness,,,1511658,,,,,,,,,,,,Deviation / Discrepancy - Procedural Published Material / Policy; Flight Deck / Cabin / Aircraft Event Other / Unknown; Inflight Event / Encounter Unstabilized Approach,,,Automation Aircraft Other Automation; Person Flight Crew,In-flight,Flight Crew Overcame Equipment Problem,Human Factors; Procedure,Human Factors,"ILS into ZZZ. Arrival was accompanied by several STAR changes; vectors off and back on STAR; speed changes; general Communication saturation; and weather less than expected. Approach was briefed as a flaps 30 approach. At approximately 500 ft; TOO LOW FLAPS; was broadcast by the aircraft. It was communicated and elected to put the flaps to 30 and continue the approach. I believe confirmation-bias played into us announcing 'flaps 30' during the Before Landing Checklist with the flap position needles being 'in the ballpark' of where we are used to seeing them for a flaps 30 approach.",,,,"B737 First Officer reported a 'TOO LOW FLAPS' warning at 500 ft on an ILS approach.",
1512033,201801,1801-2400,ZZZ.Airport,US,,,,4000,,VMC,,,Night,,,TRACON ZZZ,Air Carrier,EMB ERJ 170/175 ER/LR,,2,Part 121,IFR,Passenger,,Descent,Visual Approach,Class C ZZZ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Aircraft X,Flight Deck,Air Carrier,First Officer; Pilot Not Flying,Flight Crew Air Transport Pilot (ATP),Flight Crew Type 550,,Situational Awareness; Workload; Communication Breakdown,Party1 Flight Crew; Party2 Flight Crew,,1512033,,,,,,,,,,,,ATC Issue All Types; Deviation - Altitude Overshoot; Deviation / Discrepancy - Procedural Published Material / Policy; Inflight Event / Encounter Unstabilized Approach,,,Person Flight Crew,In-flight,Flight Crew Returned To Clearance,Human Factors,Human Factors,"CA's (Captain's) leg; uneventful takeoff and cruise segment. As we got closer to the airport; I noticed we were still left quite high in our descent. The CA asked for direct to the FAF as we descended under FL200. I made a comment that 'it would be close;' on this one; which should've been my personal indication to be even more aware and ready to say something in the event of an unstable approach. As we kept screaming along at 250KTS; approach control cleared us for the visual approach to the airport at almost a 90 degree intercept to the FAF. In order to get the altitude under control; the CA used FLCH which put us at an almost 4;000 ft/min descent rate through 4;000 ft. At this point; I was beginning to get a bit uncomfortable; but failed to say anything. As our descent rate was arrested at the FAF intercept altitude; we started configuring. I was a bit busy 'inside;' ensuring that flap speed limitations were not broken; when I realized that we had descended below the MSA as the CA disengaged the autopilot to smoothen the transition at the 90 degree intercept angle. At this point; I noticed we were below the glide slope and saw 4 red on the PAPI; with a radar altimeter reading lower than it should have been. The CA then leveled the aircraft and stayed at that altitude until the glide slope was intercepted. At this point a normal final approach to landing occurred without incident within the touchdown zone. Improper descent planning by both ATC and the flight crew in the flight deck; caused this incident. This was an error that caused unnecessarily high workload for us in the flight deck close to the ground and late in the day. I personally should've spoken up and called for a go-around with the first indication that we were below the glide slope. There was definitely a sense of 'get-there-itis;' as it was day 4 of the trip and the last leg as well. As a first officer; I failed in my responsibility to support my CA by suggesting a better outcome. I'm glad that the incident did not cause something more major to happen. In the future; I will be sure to speak up when I feel uncomfortable.",,,,"ERJ-170 First Officer reported landing after an unstabilized approach on a steep descent profile and visual approach.",
1512489,201801,0001-0600,ZZZ.Airport,US,,,1000,,,VMC,,,Night,,,Tower ZZZ,Air Carrier,B777 Undifferentiated or Other Model,,2,Part 121,IFR,Passenger,,Final Approach,,Class B ZZZ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Aircraft X,Flight Deck,Air Carrier,Pilot Not Flying; Captain,Flight Crew Air Transport Pilot (ATP),Flight Crew Total 14388; Flight Crew Type 2413,,Fatigue; Situational Awareness,,,1512489,,,,,,,,,,,,Inflight Event / Encounter Unstabilized Approach,,,Person Flight Crew,In-flight,Flight Crew Executed Go Around / Missed Approach,Human Factors,Human Factors,"We were vectored abeam the runway on the Northwest side of the field. At approximately midfield the controller vectored us abeam the outer marker. He asked if we had the field. I asked my FO (First Officer) 'you have the field' he responded yes; and he cleared us for a visual. At that time my FO started turning the aircraft inside the marker. I had drawn a line without executing the marker showing him the line to the marker. We were at 2500 ft and 2 miles from the final approach but inside the marker. I then asked are you going to the marker or turning inside. He said inside. I said then we need to dirty up and get down. But he was not descending so we were high and almost on center line. He didn't respond aggressive enough maybe it being [early morning] and him being tired. But I thought we were high and fast; and said this is not going to work. Let's go around. He called missed approach executed a missed approach and we advised tower we wanted to come around for another approach. The second approach was completed successfully and we were on the ground ten minutes later and still on time. In hind sight I think fatigue played somewhat into the scenario. As we were up all night. It basically was poor execution of the first approach and turning in too early therefore not allowing enough time to descend. There was also hesitation on the descent in the base turn which resulted in him being too high. All in all we successfully executed a missed approach eliminating the threat and setting the aircraft up for another stable approach. We debriefed as a crew after arriving at the gate and talked about the execution of the approach and what led me to call a missed approach. We all agreed and departed the aircraft knowing we did the right thing.",,,,"B777 Captain reported a go-around after an unstable approach.",
