 ,Time,Time,Place,Place,Place,Place,Place,Place,Place,Environment,Environment,Environment,Environment,Environment,Environment,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Component,Component,Component,Component,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Person 1,Person 1,Person 1,Person 1,Person 1,Person 1,Person 1,Person 1,Person 1,Person 1,Person 1,Person 2,Person 2,Person 2,Person 2,Person 2,Person 2,Person 2,Person 2,Person 2,Person 2,Person 2,Events,Events,Events,Events,Events,Events,Assessments,Assessments,Report 1,Report 1,Report 2,Report 2,Report 1,
ACN,Date,Local Time Of Day,Locale Reference,State Reference,Relative Position.Angle.Radial,Relative Position.Distance.Nautical Miles,Altitude.AGL.Single Value,Altitude.MSL.Single Value,Latitude / Longitude (UAS),Flight Conditions,Weather Elements / Visibility,Work Environment Factor,Light,Ceiling,RVR.Single Value,ATC / Advisory,Aircraft Operator,Make Model Name,Aircraft Zone,Crew Size,Operating Under FAR Part,Flight Plan,Mission,Nav In Use,Flight Phase,Route In Use,Airspace,Maintenance Status.Maintenance Deferred,Maintenance Status.Records Complete,Maintenance Status.Released For Service,Maintenance Status.Required / Correct Doc On Board,Maintenance Status.Maintenance Type,Maintenance Status.Maintenance Items Involved,Cabin Lighting,Number Of Seats.Number,Passengers On Board.Number,Crew Size Flight Attendant.Number Of Crew,Airspace Authorization Provider (UAS),Operating Under Waivers / Exemptions / Authorizations (UAS),Waivers / Exemptions / Authorizations (UAS),Airworthiness Certification (UAS),Weight Category (UAS),Configuration (UAS),Flight Operated As (UAS),Flight Operated with Visual Observer (UAS),Control Mode (UAS),Flying In / Near / Over (UAS),Passenger Capable (UAS),Type (UAS),Number of UAS Being Controlled (UAS),Aircraft Component,Manufacturer,Aircraft Reference,Problem,ATC / Advisory,Aircraft Operator,Make Model Name,Aircraft Zone,Crew Size,Operating Under FAR Part,Flight Plan,Mission,Nav In Use,Flight Phase,Route In Use,Airspace,Maintenance Status.Maintenance Deferred,Maintenance Status.Records Complete,Maintenance Status.Released For Service,Maintenance Status.Required / Correct Doc On Board,Maintenance Status.Maintenance Type,Maintenance Status.Maintenance Items Involved,Cabin Lighting,Number Of Seats.Number,Passengers On Board.Number,Crew Size Flight Attendant.Number Of Crew,Airspace Authorization Provider (UAS),Operating Under Waivers / Exemptions / Authorizations (UAS),Waivers / Exemptions / Authorizations (UAS),Airworthiness Certification (UAS),Weight Category (UAS),Configuration (UAS),Flight Operated As (UAS),Flight Operated with Visual Observer (UAS),Control Mode (UAS),Flying In / Near / Over (UAS),Passenger Capable (UAS),Type (UAS),Number of UAS Being Controlled (UAS),Location Of Person,Location In Aircraft,Reporter Organization,Function,Qualification,Experience,Cabin Activity,Human Factors,Communication Breakdown,UAS Communication Breakdown,ASRS Report Number.Accession Number,Location Of Person,Location In Aircraft,Reporter Organization,Function,Qualification,Experience,Cabin Activity,Human Factors,Communication Breakdown,UAS Communication Breakdown,ASRS Report Number.Accession Number,Anomaly,Miss Distance,Were Passengers Involved In Event,Detector,When Detected,Result,Contributing Factors / Situations,Primary Problem,Narrative,Callback,Narrative,Callback,Synopsis,

1962065,202301,1801-2400,SFO.Airport,CA,,,,4000,,IMC,Turbulence,,,,,Tower SFO,Air Carrier,B737 Next Generation Undifferentiated,,2,Part 121,IFR,Passenger,,Final Approach,,Class B SFO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Aircraft X,Flight Deck,Air Carrier,Pilot Not Flying; First Officer,,Flight Crew Last 90 Days 157; Flight Crew Type 210,,Situational Awareness; Workload,,,1962065,,,,,,,,,,,,Deviation - Altitude Overshoot; Deviation / Discrepancy - Procedural Clearance; Inflight Event / Encounter Unstabilized Approach; Inflight Event / Encounter CFTT / CFIT,,,Automation Aircraft Terrain Warning; Person Flight Crew,In-flight,Air Traffic Control Issued New Clearance; Flight Crew Executed Go Around / Missed Approach; Flight Crew Diverted,Weather; Human Factors,Weather,"On a turbulent descent and arrival into SFO; due to weather in the area; we were given the RNAV approach to [Runway] 10L. This was after we had been vectored due to airport saturation. We set up for the approach and briefed it. The missed was briefed and it was 4;000 ft. We were vectored onto the approach just outside of the FAP; while we were turning onto the inbound leg the autopilot disconnected due to what I expect was turbulence; and would no re-engage. The Captain hand flew the rest of the approach. When we were approaching the MDA; approximately 200 ft. above; we got a TERRAIN; TERRAIN alert and I immediately called for a go around. The go around was performed perfectly except Tower told us to climb and maintain 3;000. I never adjusted the MCP as we were busy with the missed procedure. Tower queried us about the altitude and said to just maintain 4;000. They then asked us about retrying the approach; we decided as everyone seemed to be going missed; to divert to ZZZ. The flight landed uneventfully at ZZZ.",,,,"B737 pilot reported receiving a terrain alert while on final approach; resulting in a missed approach and diversion.",
1962101,202301,1801-2400,ZZZ.Airport,US,,,,,,IMC,Icing,,Night,,,Tower ZZZ,Air Carrier,EMB ERJ 145 ER/LR,,2,Part 121,IFR,Passenger,,Initial Approach,Vectors,Class B ZZZ,,,,,,,,,,,,,,,,,,,,,,,,Aerofoil Ice System,,X,Malfunctioning,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Aircraft X,Flight Deck,Air Carrier,Captain; Pilot Not Flying,Flight Crew Air Transport Pilot (ATP); Flight Crew Multiengine; Flight Crew Instrument,,,,,,1962101,,,,,,,,,,,,Aircraft Equipment Problem Critical; Deviation / Discrepancy - Procedural Clearance; Deviation / Discrepancy - Procedural Published Material / Policy; Inflight Event / Encounter Weather / Turbulence; Inflight Event / Encounter Unstabilized Approach,,N,Automation Aircraft Other Automation; Person Flight Crew,In-flight,Air Traffic Control Provided Assistance; Flight Crew Requested ATC Assistance / Clarification; Flight Crew Landed As Precaution; General Flight Cancelled / Delayed; General Maintenance Action,Aircraft; Procedure,Aircraft,"While on the ILS approach into ZZZ; the message STAB ANTI ICE FAIL was displayed on our EICAS. Shorty thereafter the message ICE CONDITION/ANTI ICE INOP message was also displayed. Icing conditions prevailed at the time from a low altitude to several thousand feet above the airport. We decided to continue the approach and land ASAP rather than go-around and simply climb into more icing. I requested priority handling and requested from ATC to keep our speed up on final; with the goals of increasing TAT and minimizing time spent flying in icing conditions. Landing was uneventful. Also; given the timing of the event and the weather conditions; we chose to focus on flying and navigating the aircraft rather than running the QRH. The day prior to this flight; we had the exact same issue with this aircraft/tail number. Maintenance worked on the aircraft overnight and prior to our departure; we conducted an Ice Test A that presented indications of a normally functioning Anti-Ice system. My suggestion is for a more thorough examination and testing of the anti-ice system to ensure the issue is identified and corrected for good.",,,,"EMB-145 Captain reported while on approach; receiving a message STAB ANTI ICE FAIL was displayed on our EICAS. The flight crew decided to return to the departure airport.",
1962339,202301,1201-1800,ZZZ.Airport,US,,,,6500,,VMC,,,Daylight,,,Tower ZZZ,Air Carrier,EMB ERJ 170/175 ER/LR,,2,Part 121,IFR,Passenger,,Initial Approach,,Class C ZZZ,,,,,,,,,,,,,,,,,,,,,,,,FMS/FMC,,X,Improperly Operated,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Aircraft X,Flight Deck,Air Carrier,Pilot Flying; First Officer,Flight Crew Air Transport Pilot (ATP); Flight Crew Multiengine; Flight Crew Instrument,,,Troubleshooting; Training / Qualification; Communication Breakdown,Party1 Flight Crew; Party2 Flight Crew,,1962339,Aircraft X,Flight Deck,Air Carrier,Pilot Not Flying; Captain,Flight Crew Multiengine; Flight Crew Instrument; Flight Crew Air Transport Pilot (ATP),,,Communication Breakdown,Party1 Flight Crew; Party2 Flight Crew,,1962340,Aircraft Equipment Problem Less Severe; Conflict Ground Conflict; Less Severe; Deviation - Altitude Overshoot; Deviation - Speed All Types; Deviation / Discrepancy - Procedural Clearance; Deviation / Discrepancy - Procedural Published Material / Policy; Inflight Event / Encounter CFTT / CFIT; Inflight Event / Encounter Unstabilized Approach,,,Automation Air Traffic Control; Person Flight Crew,In-flight,Air Traffic Control Issued Advisory / Alert; Flight Crew Overcame Equipment Problem; Flight Crew Returned To Clearance,Aircraft; Human Factors,Human Factors,"Low Altitude Alert Aircraft X from ZZZ2 to ZZZ1; was re-routed before push back to make a fuel stop in ZZZ; since we were weight restricted leaving ZZZ2. Since ZZZ2 was a special airport; the Captain being the PIC (Pilot in Command); landed there and took off from ZZZ2. Since the Captain flew the leg there; he offered to switch flight controls once we were in cruise so that I the SIC (Second in Command) could get some flying in too. We switched flight controls and radios at cruise; so the Captain became the Pilot Monitoring and I the FO (First Officer) became the Pilot Flying. Going into ZZZ we knew the winds would only allow us to land on Runway XX or Runway XY. Any other runway would exceed our 10 kts. tail wind limitation.When we were about 20 miles from the airport coming from the North; Approach Control was vectoring us for the visual for Runway XX. ZZZ only has a RNP approach for Runway XX and XY. We do not have a copy of either approach in our EFB and we also don't have it in our FMS. So; we were doing an actual Visual approach since we had nothing to back up the visual approach with. In ZZZ2 we briefed the visual for ZZZ and again in our decent into ZZZ. We noted the MSA off the ZZZ VOR and the traffic pattern altitude in ZZZ. The field elevation being 5355 ft. MSL making the traffic pattern 6900 ft MSL. We added three distance rings using the NAV FIX INFO function on the FMS to help with our descent planning and where we wanted to be on final and what altitudes we wanted to be at using a 3-degree decent.Approach control was vectoring us for a 45-degree right down wind entry for Runway XX. We were asked if we had the field in sight and we replied that we do; but that a scattered cloud might come in between us and the field and asked if we could keep getting vectors until we were clear of it. Approach lowered us to 7;000 ft and gave us a heading that would set us up for about a 45-degree entry abeam the thousand-ft. markers on Runway XX.Approach cleared us down to 7000 ft. and said that he couldn't give us anymore vectors and asked if we still had the field in sight. We did have the field in sight with no clouds being a factor. The phraseology was a little different from what the Captain was expecting to hear and he also missed the call sign. So he missed the radio call. I heard it and responded to Approach Control. Approach then came back on and cleared us for the visual and told us to switch over to Tower. The Captain repeated the radio call and switched over to Tower. As he switched over to Tower we were about 2 miles away and we turned to join down wind of Runway XX. Tower then cleared us to land.After that the Captain was asking me what Approach said on the call that he missed. After discussing the radio call we talked about when to turn final and talked about our altitudes that we were planning on being at on final. At this point we were flaps 2; speed 180. Being cleared to land; we set the altitude bug to 6400 ft. At this time the plane was still descending. The Captain said lets level off here until we turn base. The airspeed at this time was decreasing and dropped to about 160 kts. The Captain said check airspeed. The speed bug was at 180 and the auto throttles were at idle. So I turned off the autopilot and increased the throttles. We weren't sure at the time why the auto throttles were still trying to go to idle. The Captain said just turn them off and hand fly it. This was about 30 seconds after being abeam the thousand ft. markers so we started our turn to base leg.At this time Tower came on and said they are getting a low altitude alert and gave us the current altimeter setting. We corrected the altitude setting which was off by .02 Hg. We noticed at this time we were about 300 to 400 ft. low. We leveled off and got our airspeed back under control. We started a slight climb and then leveled off just under traffic pattern. We then did flaps 3 and landing gear down. We turned to intercept final andbugged V approach and flaps 5. We did the before landing checklist. As we joined final we were 3 red lights and 1 white light on the PAPI. We were stable and fully configured by 1000 ft. AGL. So we continued the approach; set the missed approach altitude and landed with no further incidents.After discussing why the auto throttles were doing that; we believe that we probably were still in FLCH when we put in 6400 ft. in the attitude bug. So the auto throttles were trying to get us to descend. With all that happening while we were turning base; we got a little flustered and descended lower than we should have. Luckily we were monitoring the situation and caught it before it got us into a worse situation. Also instead of waiting and trying to fix the automation we just turned off all the automation and flew the plane first. That saved us from getting into a worst situation.Some major factors that played a role in this situation was missing a radio call during a crucial time; unnecessarily worrying about what we were going to be doing when we landed (since this was a first time for both us having to do a fuel stop and not having a gate to go to); and not having anything to back up our visual approach. Looking back on it; the Captain probably should have done the visual approach since he had more experience doing visual approaches. This was a humbling learning experience.",,"[Report narrative contained no additional information.]",,"EMB175 flight crew reported automation mismanagement resulted in a low altitude alert on a visual approach.",
1962564,202301,1201-1800,ZZZ.Airport,US,090,5,,2200,,,,,Daylight,,,,Air Carrier,B737 Undifferentiated or Other Model,,2,Part 121,IFR,Passenger,,Initial Approach,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Aircraft X,Flight Deck,Air Carrier,Captain; Pilot Not Flying,Flight Crew Instrument; Flight Crew Air Transport Pilot (ATP); Flight Crew Multiengine,,,Situational Awareness; Training / Qualification,,,1962564,,,,,,,,,,,,Deviation - Altitude Excursion From Assigned Altitude; Deviation - Track / Heading All Types; Deviation / Discrepancy - Procedural Published Material / Policy; Inflight Event / Encounter CFTT / CFIT; Inflight Event / Encounter Unstabilized Approach,,,Person Flight Crew,In-flight,Flight Crew Returned To Clearance; Flight Crew Became Reoriented; Flight Crew Took Evasive Action,Environment - Non Weather Related; Human Factors,Human Factors,"Cleared direct ZZZZZ from east of downtown. First Officer (FO) flew direct with LNAV; which put us at a 90 degree intercept to final at five miles. FO previous experience was 15 years as an Air Force primary flight instructor. As he approached ZZZZZ; he started his descent to 2200 ft. from 3000 ft.; and turned early to join the final; but in reality he turned direct to the threshold of [Runway] XXR; and continued descent (like a VFR pattern in primary trainer). I advised him the turn was early; and as he was correcting altitude and course; the high-rise to the right of final caused an 'Obstacle- pull up' Warning. He increased power at my direction; but not to the firewall. The warning ceased immediately and we were clear of the obstacle and continued the visual approach without further incident.Suggestion - Stay in LNAV and allow the aircraft to join final further out to insure obstacle clearance. We discussed at length the best practices.",,,,"B737 Captain reported an "obstacle pull up" warning when the First Officer turned final approach too early near a high rise building.",
1963320,202301,0601-1200,ZZZ.TRACON,US,,,,,,VMC,,,Daylight,,,TRACON ZZZ,Air Carrier,A321,,2,Part 121,IFR,Passenger,,Initial Approach,Vectors,,,,,,,,,,,,,,,,,,,,,,,,,Squat Switch,,X,Malfunctioning,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Aircraft X,Flight Deck,Air Carrier,Pilot Not Flying,Flight Crew Air Transport Pilot (ATP); Flight Crew Multiengine,,,,,,1963320,,,,,,,,,,,,Aircraft Equipment Problem Critical; Deviation / Discrepancy - Procedural Clearance; Inflight Event / Encounter Unstabilized Approach,,N,Automation Aircraft Other Automation; Person Flight Crew,In-flight,Air Traffic Control Provided Assistance; Flight Crew Requested ATC Assistance / Clarification; Flight Crew Overcame Equipment Problem; Flight Crew Landed As Precaution; Flight Crew Executed Go Around / Missed Approach; General Flight Cancelled / Delayed; General Maintenance Action,Aircraft,Aircraft,"At gear extension received ECAM L/G Shock Absorber Fault; just after that the following ECAMS; Cab PR LDG ELEV FAULT;  Auto Flt A/THR OFF; Anti Ice STBY Fault; loss of all Aircraft INIT INFO.  Accomplished a go-around and returned to field for a visual approach. Aircraft appeared to be in ground mode and could not reprogram back to in flight condition. Accomplished go-around because aircraft was accelerating and unstable. Made a visual approach without navigational guidance. Occurred due to an aircraft fault.",,,,"A321 pilot reported Air/Ground Sensing failure on gear extension. The flight crew executed a go-around to trouble shoot and run the QRH/check lists. The flight crew was unable to reprogram the aircraft to air mode and elected to land at destination airport.",
1964475,202301,0601-1200,ZZZ.Airport,US,,,5,,,VMC,Windshear; 10,,Daylight,8000,,CTAF ZZZ,Personal,Cardinal 177/177RG,,1,Part 91,VFR,,,Landing,Visual Approach,Class G ZZZ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Aircraft X,Flight Deck,Personal,Single Pilot; Pilot Flying,Flight Crew Multiengine; Flight Crew Instrument,Flight Crew Last 90 Days 391; Flight Crew Total 900; Flight Crew Type 217,,Situational Awareness,,,1964475,,,,,,,,,,,,Ground Event / Encounter Loss Of Aircraft Control; Ground Event / Encounter Weather / Turbulence; Ground Event / Encounter Object; Inflight Event / Encounter Unstabilized Approach; Inflight Event / Encounter Weather / Turbulence,,,Person Flight Crew,In-flight,Aircraft Aircraft Damaged; Flight Crew Executed Go Around / Missed Approach,Human Factors; Weather,Weather,"During landing [I experienced an] extreme gust of wind in ground effect as I touched down on the right main. Plane rolled left turned away from center line. I initiated a go around procedure. Just as I rotated the plane left the runway. In a pitch up attitude the horizontal stabilizer made contact with a runway edge light. Damage to plane was a 3x3 inch dent on the bottom of the stabilizer and damage to the runway light coupler. Winds 240-26g35kt. After go around recheck weather revealed 250-26G40. Second landing attempt was successful.",,,,"Cessna 177 pilot reported striking a runway edge light during a go-around in gusty winds; incurring light damage to the aircraft. Aircraft landed safely on second attempt.",
1965014,202301,0001-0600,ZZZ.Airport,US,,,,,,VMC,,,Night,,,,Air Carrier,Regional Jet 900 (CRJ900),,,Part 121,IFR,Passenger,,Initial Approach,Vectors,,,,,,,,,,,,,,,,,,,,,,,,,Horizontal Stabilizer Trim,,X,Malfunctioning,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Aircraft X,Flight Deck,Air Carrier,First Officer; Pilot Flying,Flight Crew Air Transport Pilot (ATP); Flight Crew Instrument; Flight Crew Multiengine,,,,,,1965014,,,,,,,,,,,,Aircraft Equipment Problem Critical; Deviation / Discrepancy - Procedural Clearance; Deviation / Discrepancy - Procedural Published Material / Policy; Ground Event / Encounter Loss Of Aircraft Control; Inflight Event / Encounter Unstabilized Approach,,N,Automation Aircraft Other Automation; Person Flight Crew,In-flight,Air Traffic Control Provided Assistance; Flight Crew Landed As Precaution; Flight Crew Overcame Equipment Problem; Flight Crew Requested ATC Assistance / Clarification; Flight Crew Returned To Departure Airport; General Flight Cancelled / Delayed; General Maintenance Action,Aircraft,Aircraft,"We were given published hold at ZZZZZ with EFC of XA13. We did out numbers and concluded that we be able to make it close to the time given with a different alternate of ZZZ. Once cleared to exit the hold we proceeded the ZZZZZ1 landing south. On set up for the approach on ILSXX the Autopilot was having a hard time staying corrected; so I (Pilot Flying) took off Autopilot and proceeded to hand fly. Wind 240@13 gusting 39. We corrected the the winds but was unable to maintain stability. Captain called for go around at 800 ft. AGL. we were given a heading of 270 and altitude of 4;000 ft. MSL. Once we execute the missed; I found (Pilot Flying) that Stab Trim was trimming us for nose down. Captain and I both concluded that it was a Stab Trim Runaway. I exercised the procedures for Stab Trim Runaway. Captain took over flight controls; as I ran QRH. Stab Trim Runaway ceased; and were able to regain control. Both I and the captain agreed to proceed back into ZZZ1.",,,,"CRJ-900 First Officer reported a Horizontal Stabilizer Trim Run Away condition during approach. The flight crew ran the QRH and the Run Away conditioned ceased. The flight crew continued the approach to landing at destination airport.",
1966915,202301,1801-2400,ZZZ.Airport,US,,,,2300,,,Turbulence,,Night,,,,Air Carrier,EMB ERJ 170/175 ER/LR,,2,Part 121,IFR,Passenger,,Landing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Aircraft X,Flight Deck,Air Carrier,Pilot Flying; Captain,Flight Crew Air Transport Pilot (ATP); Flight Crew Multiengine; Flight Crew Instrument,,,Workload; Troubleshooting; Time Pressure; Fatigue,,,1966915,Aircraft X,Flight Deck,Air Carrier,First Officer; Pilot Not Flying,Flight Crew Air Transport Pilot (ATP); Flight Crew Multiengine; Flight Crew Instrument,,,Workload; Time Pressure; Fatigue,,,1966922,Deviation - Altitude Overshoot; Deviation - Altitude Excursion From Assigned Altitude; Deviation - Speed All Types; Deviation / Discrepancy - Procedural Clearance; Deviation / Discrepancy - Procedural Published Material / Policy; Inflight Event / Encounter Weather / Turbulence; Inflight Event / Encounter Unstabilized Approach; Inflight Event / Encounter CFTT / CFIT; Inflight Event / Encounter Loss Of Aircraft Control,,,Person Flight Crew,In-flight,Flight Crew Became Reoriented; Flight Crew Took Evasive Action; Flight Crew Overcame Equipment Problem; General Maintenance Action,Human Factors; Weather,Weather,"During my approach on the ILS X into ZZZ; I initiated a go-around just passed or around ZZZZZ FAF due to what I believe was a wind-shear downdraft. The ZZZ1 area was covered with moderate turbulence and thunderstorms were moving through the sector. Prior to the approach I briefed the PM on a possible wind-shear escape maneuver should the possibility arise. The ATIS was not reporting wind-shear and it seemed the other traffic ahead of us were getting into ZZZ just fine. We had just flown in on the ZZZZZ1 arrival with very strong moderate turbulence all the way in. As we were cleared for the approach I selected flaps and gear down on normal schedule and complied with the speed restrictions given to us by ATC. As we turned final I could see an ominous looking cloud that appeared to be moving across the path to the runway at the FAF ZZZZZ. In a break in the cloud I could visually see the runway lights off and on. I prepared for the possibility that the cloud would emanate some turbulence. As we passed through it on the backside of it I felt the airplane get rolled to the right and I felt the plane being pushed down.We did not receive any wind-shear warnings or cautions aurally. I counteracted as it was being forced down and then I felt the airspeed dropping rapidly. I felt as if a downdraft was causing us to be pushed down at an uncontrollable rate. At that point I knew we needed to apply power and climbout of it. I initiated a go-around thinking it was wind-shear pushing us down. I also heard a 'caution obstacle' message. Initially; as I added power it seemed like we were not able to climb immediately. The go around was not perfect but we quickly became busy as I felt we had a terrain issue along with the wind shear. Then we cleared the wind shear and we started climbing rapidly and our speed quickly became very high and we were very close to our go around altitude of 2000 already. The PM informed the Tower that we were going around for wind shear in which they provided a heading and altitude of 2000. I knew we were about to blow through that altitude so I had him ask for a higher altitude. We over flew the altitude by around 300 ft. The Tower did not want to give us higher as they 'did not control that airspace'. Eventually we went over to Approach and they provided us 4000 ft. I received a high speed message during the event; as the flaps were still extended and in transition and sometime during all this I asked for the gear to be retracted and then flaps 2 which was out of order.I also called for FL 210 but the cockpit became very busy quickly and we did not get it set right away as the aural high speed message was going off along with trying to listen to ATC. I became concerned with the high speed and trying to comply with the ATC altitude. We eventually cleaned up the plane and reengaged automation. The event certainly shook both of us up; however after we had the aircraft under normal flying conditions we briefed the passengers of what happened; loaded another approach; and returned for a second and successful landing. I should have done better with my call outs and procedures. I should have at least called TOGA; and once clear of the shear: flaps 2; (positive rate) gear up; and FLCH 210. Adding the amount of power I did felt right as we seemed to be rolling and descending in the wrong direction and I felt we needed to climb immediately. However; I was also distracted trying to keep us from climbing too far above our target altitude and got behind on the recovery.",,"I do want to preface this account by saying my memory of the events is not very clear; and after the moment we began the go-around; the exact timing and what happened became a blur of events. I was PM on Aircraft X from ZZZ2 to ZZZ. We had started our day at XA:30pm and dealt with delays getting in to ZZZ2 due to thunderstorms. Both our flights from ZZZ to ZZZ2 and from ZZZ2 to ZZZ were filled with multiple areas of convective activity and associated turbulence. As we approached ZZZ; the field had some thunderstorms in the area but the latest ATIS was showing a good prognosis with winds dying down to something like 160 at 7 kts or so. Approach had vectored us around at 4;000 or so and the entire time at that altitude we were dealing with moderate turbulence. The Captain (CA) had to override the auto throttles during this time to keep the speed under control. I do recall the CA briefed the wind shear escape maneuver before we set up for the approach as well.Eventually we got vectored southwest and then set up on final for the ILS X. We were told to slow to 160 kts till ZZZZZ and cleared for the approach. Shortly before the FAF; the CA had given me the proper commands to fully configure the plane and we were stabilized at about 1;700 feet. I'm not really sure when the CA switched to green needles; or when the Autopilot (AP) was kicked off as the approach does require it (I believe it was right before we passed the FAF). As we neared ZZZZZ; we could see the runway and lights below several scattered cloud layers. There was an almost a U shaped thin cloud in front of us that rose a couple hundred feet on both sides of the aircraft. We passed right through the middle of this cloud and it was about this time that the approach completely fell apart. I recall seeing the speed start to bleed off pretty quickly; almost 10 kts past our speed. The CA responded by moving the throttles forward quite aggressively and the speed started to come back. However it felt like we were dropping aggressively and the plane had started a slight roll (10 degrees or so) to the right.I don't recall if this happened before or after the CA told me were going around; but we got an obstacle alert. The CA told me we were going around but didn't state the correct phrase (Go-Around; TOGA; Flaps 2). He did hit the TOGA button though and we began to get speed and altitude back. I remember trying to look at the EICAS and verify TOGA set but the screen was really dark and I couldn't verify it immediately. I do recall seeing something resembling 'obstacle proximity' on my Primary Flight Display (PFD) in red; and I think we got 1 aural 'OBSTACLE' alert; but the whole moment happened very quickly. I do remember that I eventually stated TOGA set after I was able to verify despite it being so dark. The last thing I remember about looking at the glide slope was that we were about a 1/2 to 3/4 dot low during the time the speed bled off abruptly. I was completely unsure as to what we were dealing with since we didn't get a single wind shear alert; and Tower had not told us about any wind shear reports. The glide slope alert never went off either. Either way the go around was done incorrectly.As the CA hit TOGA and I tried to verify TOGA set; we neglected to move flaps to position 2 right away. I recall telling Tower we were going around and they told us to climb to 2;000 feet and fly heading 040. I think I missed a call; but with the alerts going off; it was extremely hard to focus on one thing at a time. The Captain asked for FLCH 210 and it was really hard to verify the correct button in the dark cockpit but I think I hit it and had 210 dialed in. At this point; the airplane was rocketing upwards and the speed was the only thing I remember going up a lot. The Captain told me gear up and I didn't even think to verify the flaps were at 2 before doing that. As a result we had the landing gear aural alert going off. Then CA told me to bring flaps to 2 and I did. Around thistime the airspeed had climbed significantly and the last number I remember was 240 and we started getting high speed (not sure if this was before or after flaps moved to 2). After I had verified the instructions from ATC; the CA told me we needed higher and I told ATC that. They told me they can't do that as they don't control that airspace.The CA also told me we needed to turn to the left to get out of whatever we were dealing with. I don't think I was able to pass that on as Tower was giving us a new frequency and asking if it was wind shear. We did blow through 2;000 and leveled at 2;200 I believe and then got cleared up to 3;000. Before switching I heard the Tower Controller tell the plane behind us that they were getting wind shear alerts for Runway X gain of 20 kts and another plane called up and said they gained 20 (not sure if it was arrival or departure). Eventually the CA called flaps up; and then said incrementally but I had mistakenly moved them up all the way. I then moved them back to position 1 and then up. Either way it was clear we had over-sped them. We cleaned up; switched over to Approach and got vectored around. We then shot the second attempt on the same approach with no issue. Once we landed the CA called Maintenance to inform them of the over speed event and write up the plane which had finished for the night. Overall we were completely caught off guard by this event as it was not expected and the weather conditions had been improving in the area as well. Both me and the CA were pretty shaken up by the event as the obstacle alert is something that neither of us ever expected to see; even with a wind shear event.It is also important to note that I don't believe ATC ever gave us a warning or talking to for exceeding our altitude of 2;000 feet on the go-around. While it's hard to remember the correct details; I think we responded appropriately by a go-around. However we should have done a wind shear escape procedure even though it was never annunciation. Secondly; even though we elected to do a go-around; we didn't use the correct callouts and as a result of that; ATC calls during the event; the obstacle alert; and other distractions; we caused the flap over speed. The go-around was also abnormal to me since we weren't below 1;000 feet and were pretty limited with the altitude available to climb. I think better CRM would have resulted in a correct go-around procedure or wind shear escape procedure as the whole event could be characterized with 'tunnel vision' on my part as well. I also should have the corrected the Captain from the moment we elected to go-around by taking control of the situation and configuring the airplane even if the Captain was distracted and didn't verbally tell me. ATC didn't help the situation as they did not immediately clear us to 3;000 feet and I was concerned with the 200 feet above assigned altitude that we had deviated from. This distracted me as well with helping to configure the aircraft. Overall; my lack of following the SOP in regards to callouts and actions exaggerated an already difficult situation.",,"EMB-170 Flight Crew reported a wind shear event during final approach in turbulent conditions. The Flight Crew executed a successful wind shear recovery procedure which caused momentary airspeed and altitude deviations.",
