 ,Time,Time,Place,Place,Place,Place,Place,Place,Place,Environment,Environment,Environment,Environment,Environment,Environment,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Component,Component,Component,Component,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Person 1,Person 1,Person 1,Person 1,Person 1,Person 1,Person 1,Person 1,Person 1,Person 1,Person 1,Person 2,Person 2,Person 2,Person 2,Person 2,Person 2,Person 2,Person 2,Person 2,Person 2,Person 2,Events,Events,Events,Events,Events,Events,Assessments,Assessments,Report 1,Report 1,Report 2,Report 2,Report 1,
ACN,Date,Local Time Of Day,Locale Reference,State Reference,Relative Position.Angle.Radial,Relative Position.Distance.Nautical Miles,Altitude.AGL.Single Value,Altitude.MSL.Single Value,Latitude / Longitude (UAS),Flight Conditions,Weather Elements / Visibility,Work Environment Factor,Light,Ceiling,RVR.Single Value,ATC / Advisory,Aircraft Operator,Make Model Name,Aircraft Zone,Crew Size,Operating Under FAR Part,Flight Plan,Mission,Nav In Use,Flight Phase,Route In Use,Airspace,Maintenance Status.Maintenance Deferred,Maintenance Status.Records Complete,Maintenance Status.Released For Service,Maintenance Status.Required / Correct Doc On Board,Maintenance Status.Maintenance Type,Maintenance Status.Maintenance Items Involved,Cabin Lighting,Number Of Seats.Number,Passengers On Board.Number,Crew Size Flight Attendant.Number Of Crew,Airspace Authorization Provider (UAS),Operating Under Waivers / Exemptions / Authorizations (UAS),Waivers / Exemptions / Authorizations (UAS),Airworthiness Certification (UAS),Weight Category (UAS),Configuration (UAS),Flight Operated As (UAS),Flight Operated with Visual Observer (UAS),Control Mode (UAS),Flying In / Near / Over (UAS),Passenger Capable (UAS),Type (UAS),Number of UAS Being Controlled (UAS),Aircraft Component,Manufacturer,Aircraft Reference,Problem,ATC / Advisory,Aircraft Operator,Make Model Name,Aircraft Zone,Crew Size,Operating Under FAR Part,Flight Plan,Mission,Nav In Use,Flight Phase,Route In Use,Airspace,Maintenance Status.Maintenance Deferred,Maintenance Status.Records Complete,Maintenance Status.Released For Service,Maintenance Status.Required / Correct Doc On Board,Maintenance Status.Maintenance Type,Maintenance Status.Maintenance Items Involved,Cabin Lighting,Number Of Seats.Number,Passengers On Board.Number,Crew Size Flight Attendant.Number Of Crew,Airspace Authorization Provider (UAS),Operating Under Waivers / Exemptions / Authorizations (UAS),Waivers / Exemptions / Authorizations (UAS),Airworthiness Certification (UAS),Weight Category (UAS),Configuration (UAS),Flight Operated As (UAS),Flight Operated with Visual Observer (UAS),Control Mode (UAS),Flying In / Near / Over (UAS),Passenger Capable (UAS),Type (UAS),Number of UAS Being Controlled (UAS),Location Of Person,Location In Aircraft,Reporter Organization,Function,Qualification,Experience,Cabin Activity,Human Factors,Communication Breakdown,UAS Communication Breakdown,ASRS Report Number.Accession Number,Location Of Person,Location In Aircraft,Reporter Organization,Function,Qualification,Experience,Cabin Activity,Human Factors,Communication Breakdown,UAS Communication Breakdown,ASRS Report Number.Accession Number,Anomaly,Miss Distance,Were Passengers Involved In Event,Detector,When Detected,Result,Contributing Factors / Situations,Primary Problem,Narrative,Callback,Narrative,Callback,Synopsis,

2069056,202401,0601-1200,ZZZ.Airport,US,,,,,,,,,,,,TRACON ZZZ,Air Carrier,Regional Jet 900 (CRJ900),,2,Part 121,,Passenger,,Initial Approach,,Class B ZZZ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Aircraft X,Flight Deck,Air Carrier,Captain; Pilot Not Flying,Flight Crew Air Transport Pilot (ATP); Flight Crew Instrument; Flight Crew Multiengine,Flight Crew Type 1700,,Fatigue; Situational Awareness; Time Pressure; Workload,,,2069056,,,,,,,,,,,,Deviation - Track / Heading All Types; Deviation / Discrepancy - Procedural Published Material / Policy; Inflight Event / Encounter CFTT / CFIT; Inflight Event / Encounter Unstabilized Approach,,,Automation Aircraft Terrain Warning; Person Air Traffic Control; Person Flight Crew,In-flight,Flight Crew FLC complied w / Automation / Advisory; Flight Crew Became Reoriented; Flight Crew Returned To Clearance,Human Factors,Human Factors,"On flight from ZZZ1 to ZZZ; I was pilot monitoring and the First Officer was pilot flying. The flight went well until the approach. We flew the ZZZZZ arrival with transition to XXL. The weather was perfect. We had flaps set to 20 and ZZZ gave us a left turn for a base. He finished configuring; and I recall telling him to be careful with his airspeed; as he slowed down; he set REF+5 a bit early. ATC asked if we had the airport in sight and we did. They cleared us to turn left to a certain heading and cleared us for the visual approach. We were at 3000ft and close to ZZZZZ1. I saw the glide slope go by and we were too high. Things went extremely fast and a lot was going on; I cannot remember very much of what happened in what order. But because he was high; I told the First Officer "I recommend you hand-fly; we are high"; so he did. He disconnected the autopilot and flew manually. He might have been in a bit of a turn from the final intercept heading; I am not sure. To avoid him descending too fast; I gave him VS 1000 fpm since we were inside the FAF. Between that and switching to tower/running landing checklist; I was heads down. I looked up and all of a sudden see that he's about to line up with XXR instead of XXL. I told him that; and he was a bit slow to correct; so I momentarily grabbed the yoke and encouraged the left turn. He corrected. Between focusing on the runway alignment outside and still trying to run the checklist; check in with tower; I did not notice he was getting low. We got the "glide slope" aural warning and he corrected. Then ATC also gave us a "low altitude alert" a little bit later; as we were correcting altitude. This all happened very quickly; because I remember being back on glide slope and all being normal between 700 and 500ft AGL. It is beyond me why I did not call for a go-around. It all went so fast; so much happened in such a short amount of time; I don't remember at what altitudes things happened. Our day started really poorly; with a late inbound and isle chair waiting to deplane. We had to move quickly; I tried to slow things down; not to feel rushed. But quickly; I felt pressure to move faster after push; for an inbound mainline that we were blocking. I think it kind of set the tone for the rest of the turn. On another note; I keep getting switched from late nights to early mornings back and forth; and having started very early; my focus was probably not the best. I should have been paying more attention during the localizer capture moment; and when things went wrong; I should have either called for a go-around or taken the controls. We debriefed it once at the gate. I should have asked for a go around. I think I got caught in the moment. I normally have no issues calling for one or executing one. I could have also taken control of the aircraft and done the go-around myself; when I noticed the wrong runway alignment or the glide slope.",,,,"Air carrier Captain reported low altitude alert on approach. Flight crew corrected and continued approach.",
2071483,202401,1201-1800,MMSM.Airport,FO,,,,,,,5,,,,,,Air Carrier,Large Transport; Low Wing; 2 Turbojet Eng,,2,Part 121,IFR,,FMS Or FMC,Landing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Aircraft X,Flight Deck,Air Carrier,Pilot Not Flying,Flight Crew Multiengine; Flight Crew Instrument; Flight Crew Air Transport Pilot (ATP),,,Communication Breakdown; Confusion,Party1 Flight Crew; Party2 ATC,,2071483,,,,,,,,,,,,ATC Issue All Types; Deviation - Track / Heading All Types; Deviation / Discrepancy - Procedural Published Material / Policy; Ground Event / Encounter Ground Equipment Issue; Inflight Event / Encounter Unstabilized Approach; No Specific Anomaly Occurred Unwanted Situation,,,Person Flight Crew,In-flight,Flight Crew Executed Go Around / Missed Approach; Flight Crew Requested ATC Assistance / Clarification,Weather; Airport; Chart Or Publication,Airport,"While on approach to Runway 22R and weather reported 8 km we had hard time seeing runway. When we finally saw runway on the right we had to align airplane slightly right of course. We both immediately realized that our instruments don't match what we are looking and seeing outside so we asked Tower if we are indeed aligned with correct runway. Tower Controller had hard time understanding what we asking and after 4th time us asking local pilot relayed message to Tower. Around that time we decided to make a go around and reevaluate the whole situation. I believe after we initiated go-around Tower as well wanted us to do go around. We made published missed approach; reloaded the approach and second attempt was uneventful. We found out later that airplane behind us had a same problem we did with aligning with 22R.I believe that we should add this caution to airport company pages. If you look airport diagram it does not show anything on right side of the 22R and still there is other runway on right of it.Also recommendation during visual conditions is to trust your instruments. Let the airplane align itself with runway before disconnecting autopilot.",,,,"Air carrier pilot reported confusion between instrument guidance and visual reference on approach alignment to MMSM Runway 22R resulted in a go around. Pilot indicated a language barrier and airport diagram error added to the confusion.",
2071598,202401,1201-1800,ZZZ.Airport,US,,,,,,VMC,,,Daylight,,,CTAF ZZZ,FBO,Skyhawk 172/Cutlass 172,,2,Part 91,VFR,Training,,Initial Climb,,Class E ZZZ,,,,,,,,,,,,,,,,,,,,,,,,Engine,,X,Malfunctioning,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Aircraft X,Flight Deck,FBO,Pilot Flying; Instructor,Flight Crew Flight Instructor; Flight Crew Commercial,,,Training / Qualification; Confusion; Situational Awareness; Time Pressure; Troubleshooting; Workload,,,2071598,,,,,,,,,,,,Aircraft Equipment Problem Critical; Deviation / Discrepancy - Procedural Published Material / Policy; Inflight Event / Encounter Unstabilized Approach,,,Person Flight Crew,In-flight,Flight Crew Executed Go Around / Missed Approach; Flight Crew Overcame Equipment Problem,Procedure; Human Factors; Aircraft,Aircraft,"Instrument pilot and acting PIC (Pilot in Command) working through the commercial pilot training program at flight school was practicing a steep spiral over approach end of Runway XX at ZZZ. The flight maneuver was relatively new to the pilot. Pilot forgot to clear the engine and instructor reminded the pilot to do so. The pilot cleared the engine several times but not as many times as would have been prescribed by the flight school standardization manual. Five rotations of the spiral were performed. The pilot was instructed to perform a power-off 180 to land when reaching traffic pattern altitude. The pilot attempted the same. When the pilot realized the landing was going to be too long to leave quite sufficient runway to accomplish the maneuver the pilot announced he was going around and added full power. Immediately the engine began to exhibit signs of failure. The airplane was at approximately 50 ft above the runway. Pilot promptly pulled throttle to idle and; leaving full flaps in; pitched down to attempt an emergency landing in the last third of the runway available and the grass beyond if necessary. There was at least three runway stripes visible and maybe 500 feet of grass before electrical wires and a line off trees off the end of runway. CFI announced 'my flight controls;' and pilot relinquished the controls immediately. CFI added full power and the engine experienced a second or two of roughness and then seemed to clear and run normally. CFI conducted a go around.Fouled spark plugs. The pilot and instructor had only flown together in this plane 3 times and had to perform a burn-off each time after experiencing roughness when checking left magneto. Pilot had not cleared the engine enough for this particular aircraft. CFI stated that he thought the pilot had cleared the engine enough at least to ensure no issues but recognized the cause of the issue regardless when it happened and responded concluding that the engine was not cleared sufficiently.Suggestions: Changing the spark plugs on Aircraft X; and clearing the engine religiously.",,,,"Flight Instructor reported the aircraft experienced a loss of power during a go around from an unstable approach so they took control from the student and landed the aircraft.",
2071788,202401,,ZZZ.TRACON,US,,,,5500,,IMC,,,,,,TRACON ZZZ,Air Carrier,B737 Undifferentiated or Other Model,,2,Part 121,IFR,Passenger,,Final Approach,,Class B ZZZ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Flight Deck,Air Carrier,Pilot Flying; First Officer,Flight Crew Air Transport Pilot (ATP); Flight Crew Multiengine; Flight Crew Instrument,Flight Crew Last 90 Days 75.05; Flight Crew Total 622.20; Flight Crew Type 0.00,,Communication Breakdown; Situational Awareness,Party1 Flight Crew; Party2 ATC,,2071788,,Flight Deck,Air Carrier,Captain,Flight Crew Multiengine; Flight Crew Instrument; Flight Crew Air Transport Pilot (ATP),Flight Crew Last 90 Days 168.42; Flight Crew Type 2101.50,,Situational Awareness; Communication Breakdown,Party1 Flight Crew; Party2 ATC,,2071780,Deviation - Altitude Crossing Restriction Not Met; Deviation - Altitude Overshoot; Deviation / Discrepancy - Procedural Published Material / Policy; Deviation / Discrepancy - Procedural Clearance; Inflight Event / Encounter CFTT / CFIT; Inflight Event / Encounter Unstabilized Approach,,,,,General None Reported / Taken,Human Factors; Procedure,Human Factors,"We were off of our arrival and receiving radar vectors for ILS XXC. We were given a clearance direct to ZZZZZ and cross ZZZZZ at or above 7000. Once we read back the clearance we noticed ZZZZZ had 9000 as a restriction on it so we verified with atc the at or above 7000 at ZZZZZ. ATC verified our read back so we set 7000 in the MCP and descended to 7000. We crossed ZZZZZ at or above 7000 and continued in on the localizer. Soon after we crossed ZZZZZ were cleared for the approach. Once cleared we set the final approach fix altitude in the MCP of 2200. Tracking the localizer inbound we noticed that the aircraft was beneath the step down altitudes passing ZZZZZ1 below 7000 and ZZZZZ2 below 6000. We then reset the MCP to 5000 so it would level off prior to ZZZZZ3 and pick up the glideslope from there. We leveled and picked up the gs at 5000 at ZZZZZ3 and continued the approach. The rest of the approach and landing was normal. After landing we were taxiing in and told by ground of a possible pilot deviation. After parking and completing our flight we called ATC via the number given and told what happened. They said we were beneath the step down altitudes on the approach and that they would further investigate and be in touch. From all of this I have learned to verify that the step down fixes are being honored on these ILS approaches and I plan on accomplishing this by intercepting the GS at whichever altitude they clear me at for the approach. Especially on these long ILS intercepts with multiple step down fixes.",,"We were given 7;000 at ZZZZZ and cleared for approach to 27C. I questioned the altitude because it was 2;000 feet below published. After ZZZZZ; I set 2;200 feet for the final approach fix. At 5;500 I realized we were below glide path and leveled at 5;000 to intercept glide path. However we crossed ZZZZZ1 below 7;000. The confusion was that we were cleared below the first two fixes of the approach when cleared for the approach.",,"Air carrier flight crew reported while flying ILS they overshot two crossing restrictions resulting in an unstable approach and were notified of the deviation after landing safely at the airport.",
2071861,202401,0001-0600,ZZZ.Airport,US,,,,13000,,,Turbulence,,Night,,,Center ZZZ,Fractional,Citation Latitude (C680A),,2,Part 91,,,,Initial Approach,Visual Approach,Class D ZZZ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Aircraft X,,Fractional,Pilot Not Flying; First Officer,Flight Crew Air Transport Pilot (ATP),,,Situational Awareness; Workload,,,2071861,Aircraft X,Flight Deck,Fractional,First Officer; Pilot Flying,Flight Crew Air Transport Pilot (ATP),,,Situational Awareness; Workload,,,2071869,ATC Issue All Types; Deviation - Speed All Types; Deviation / Discrepancy - Procedural Published Material / Policy; Inflight Event / Encounter Unstabilized Approach; Inflight Event / Encounter Weather / Turbulence; Inflight Event / Encounter CFTT / CFIT,,,Automation Aircraft Terrain Warning; Person Flight Crew,In-flight,Flight Crew Executed Go Around / Missed Approach,Weather; Human Factors,Human Factors,"We were cleared for the visual XX into ZZZ. When we were cleared we were at "13;000;" I believe and only a few miles from ZZZZZ to start the approach. To try and cross ZZZZZ at the recommended altitude of 8500 we were flaps 2 and speed brakes out being that we weren't cleared until a few miles from ZZZZZ. While descending we got a "sink rate; pull up call." We initiated a go-around. On go-around we momentarily exceeded the flaps 2 speed. We had the airport and terrain in sight during the entire approach. Around the same altitude the go-around was initiated we were experiencing light turbulence. In the future; I will slow prior to when we did on this attempt. Additionally during this type of go around we could have initially leveled off prior to adding power to allow time to bring the flaps up.",,"Descending on the visual to ZZZ runway XX. ATC left us high. We were at Flaps 2 with speed brakes deployed direct ZZZZZ. We received a "sink rate" followed by "Pull Up". We were visual so we could see the terrain but we conducted the CFIT maneuver. This was at approximately 10;000ft. During the maneuver we momentarily exceeded the Flaps 2 (200 kts) speed. I saw 203-204. We were above 200 kts for no more than 5 seconds. We got vectored back around and completed the Visual 29 with no further issues. There was some turbulence due to wind over the mountains. I could have been flying a slower airspeed that may have prevented the GPWS from going off. ZZZZZ is tricky particularly if ATC leaves you high. I could have just asked to circle outside of ZZZZZ to lose some altitude. As far as the speed I should have delayed adding any power although turbulence could have been a contributing factor.",,"Fractional flight crew reported during descent they had a terrain warning and initiated a go around maneuver. Flight crew received vectors and completed the approach.",
2071993,202401,,SFO.Airport,CA,,,,4000,,VMC,,,,,,TRACON NCT,Air Carrier,Commercial Fixed Wing,,2,Part 121,IFR,Passenger,,Final Approach,,Class B SFO,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRACON NCT,Air Carrier,Commercial Fixed Wing,,2,Part 121,IFR,Passenger,,Final Approach,,Class B SFO,,,,,,,,,,,,,,,,,,,,,,,,Aircraft X,Flight Deck,Air Carrier,Captain; Pilot Flying,Flight Crew Air Transport Pilot (ATP); Flight Crew Instrument; Flight Crew Multiengine,Flight Crew Last 90 Days 136.03; Flight Crew Total 4093.60; Flight Crew Type 2012.48,,Time Pressure; Workload,,,2071993,Aircraft X,Flight Deck,Air Carrier,First Officer; Pilot Not Flying,Flight Crew Instrument; Flight Crew Multiengine; Flight Crew Air Transport Pilot (ATP),Flight Crew Last 90 Days 193.03; Flight Crew Type 765.85,,Time Pressure,,,2072124,Conflict NMAC; Deviation / Discrepancy - Procedural Clearance; Deviation / Discrepancy - Procedural Published Material / Policy; Inflight Event / Encounter Fuel Issue; Inflight Event / Encounter Unstabilized Approach,Horizontal 0; Vertical 300,,Automation Aircraft RA; Person Flight Crew,In-flight,Air Traffic Control Issued Advisory / Alert; Flight Crew Took Evasive Action; Flight Crew FLC complied w / Automation / Advisory,Procedure; Airspace Structure,Procedure,"Simultaneous approach to 28L and R. A company aircraft also a 40 degree intercept angle. Our altitudes were equal. Our TCAS initial climb of 2500 FPM. I disconnected autopilot and went to TOGA thrust as we crossed over other aircraft. Estimate 300 feet separation. TOGA power was used to avoid a midair collision. The resulting go-around reduced land fuel below 45 minute reserve.",,"Cleared for the Tip Toe visual to Runway 28L; having been informed of traffic approaching the parallel runway to our right. We had the traffic in sight and as we were about to turn final; we received a TCAS Resolution Advisory to Climb. The Captain responded to the climb command and I informed ATC "Aircraft Y TCAS RA" and was asked if we could continue the approach to which I replied "negative". We were subsequently given radar vectors for an ILS approach to Runway 28L leading to an uneventful landing.",,"Air carrier flight crew reported responding to TCAS RA during simultaneous parallel approaches resulted in a NMAC.",
2072869,202401,,,,,,,1600,,VMC,Rain,,,,,,Air Carrier,B737 Undifferentiated or Other Model,,2,Part 121,IFR,Passenger,,Final Approach,,,,,,,,,,,,,,,,,,,,,,,,,,Autopilot,,X,Malfunctioning,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Aircraft X,Flight Deck,Air Carrier,Captain,Flight Crew Instrument; Flight Crew Multiengine; Flight Crew Air Transport Pilot (ATP),Flight Crew Last 90 Days 128.5; Flight Crew Total 1334.77; Flight Crew Type 128.50,,Workload; Troubleshooting,,,2072869,,,,,,,,,,,,Aircraft Equipment Problem Less Severe; Deviation / Discrepancy - Procedural Published Material / Policy; Inflight Event / Encounter Unstabilized Approach,,,Person Flight Crew,,Flight Crew Overrode Automation; Flight Crew Overcame Equipment Problem; Flight Crew Became Reoriented,Aircraft,Aircraft,"We were vectored to intercept the ILS Runway XR at 1600 ft. At 180 knots with the gear down and flaps 15 we intercepted the G/S. Even though our instruments said we had intercepted the G/S; it was as if the aircraft didn't respond and begin the descent for a second. Then the autopilot aggressively pushed the nose over in an effort to get back on the profile. I closed the throttles to keep the airspeed from increasing and disconnected the AP to reduce the rate of descent. We were able to quickly get the aircraft back to the stabilized approach profile and make a normal approach and landing. Interference; jamming; or spoofing.",,,,"Air carrier pilot reported the auto pilot malfunctioned on final approach possibly due to GPS interference.",
2072923,202401,1201-1800,ZZZZ.Airport,FO,,,,500,,VMC,,,Daylight,,,,Air Carrier,B747-800 Advanced,,3,Part 121,IFR,,FMS Or FMC,Landing,,,,,,,,,,,,,,,,,,,,,,,,,,Flap/Slat Indication,,X,Malfunctioning,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Aircraft X,Flight Deck,Air Carrier,Pilot Not Flying,,Flight Crew Total 4800,,Situational Awareness,,,2072923,Aircraft X,Flight Deck,Air Carrier,Pilot Flying,,Flight Crew Last 90 Days 65; Flight Crew Total 7600,,Situational Awareness,,,2072926,Aircraft Equipment Problem Critical; Deviation - Speed All Types; Deviation / Discrepancy - Procedural Published Material / Policy; Inflight Event / Encounter CFTT / CFIT; Inflight Event / Encounter Unstabilized Approach,,,Person Flight Crew,In-flight,Air Traffic Control Provided Assistance; Flight Crew Overcame Equipment Problem; Flight Crew Executed Go Around / Missed Approach; Flight Crew Landed in Emergency Condition,Aircraft,Aircraft,"FO (First Officer) was PF (Pilot Flying) for arrival. On downwind for ILS during flap extension from 1 to 5 FLAPS PRIMARY EICAS was annunciated. We requested extended vectors; accomplished FLAPS PRIMARY QRH procedure; and continued flap extension to 10 in secondary mode. We then requested vectors to rejoin the approach. On approach during flap extension to 20; FLAP DRIVE EICAS annunciated. At this point a go around was initiated and the approach was discontinued. We then requested direct to fix for holding while we ran the FLAP DRIVE QRH procedure. At this time the Captain assumed the duty of PF. Weather was updated for the approach (VFR conditions with calm winds) and landing data was recomputed for the FLAP DRIVE Non-normal (with landing flaps 25 and VREF30+25 (175 knots) per the QRH). The flap display showed a split in TE flap position with inboards approximately 10 and outboards at 20. The approach was briefed (with a descent rate of 955 VSI noted due to high ground speed); descent checklist completed; and vectors requested back for the ILS. The approach was commenced and aircraft was configured to flaps 25. Approach was stable through 500 feet; at approximately 400 the SINK RATE aural sounded after a correction from being slightly above glide path. The deviation was momentary; corrected; and the approach did not become unstable. Landing was normal and accomplished in the touchdown zone; aircraft exited runway at midfield. Flaps were left down and maintenance was briefed at the gate on the flap malfunction. In retrospect a go around should have been initiated with the SINK RATE aural and discussion of the possibility (in light of the descent rate) should have been briefed more thoroughly with consideration for the flap issues.",,"FO (First Officer) was PF (Pilot Flying) for arrival. On downwind for ILS during flap extension from 1 to 5 FLAPS PRIMARY EICAS was annunciated. We requested extended vectors; accomplished FLAPS PRIMARY QRH procedure; and continued flap extension to 10 in secondary mode. We then requested vectors to rejoin the approach. On approach during flap extension to 20; FLAP DRIVE EICAS annunciated. At this point a go around was initiated and the approach was discontinued. We then requested direct to fix for holding while we ran the FLAP DRIVE QRH procedure. At this time the Captain assumed the duty of PF. Weather was updated for the approach (VFR conditions with calm winds) and landing data was recomputed for the FLAP DRIVE Non-normal (with landing flaps 25 and VREF30+25 (175 knots) per the QRH). The flap display showed a split in TE flap position with inboards approximately 10 and outboards at 20. The approach was briefed (with a descent rate of 955 VSI noted due to high ground speed); descent checklist completed; and vectors requested back for the ILS. The approach was commenced and aircraft was configured to flaps 25. Approach was stable through 500 feet; at approximately 400 the SINK RATE aural sounded after a correction from being slightly above glide path. The deviation was momentary; corrected; and the approach did not become unstable. Landing was normal and accomplished in the touchdown zone; aircraft exited runway at midfield. Flaps were left down and maintenance was briefed at the gate on the flap malfunction. In retrospect a go around should have been initiated with the SINK RATE aural and discussion of the possibility should have been briefed more thoroughly with consideration for the flap issues.",,"Air Carrier flight crew reported while on downwind they received an EICAS for flaps primary; on short final the flight crew received a SINK RATE aural alarm but continued to land safely at the airport.",
