 ,Time,Time,Place,Place,Place,Place,Place,Place,Place,Environment,Environment,Environment,Environment,Environment,Environment,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Component,Component,Component,Component,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Person 1,Person 1,Person 1,Person 1,Person 1,Person 1,Person 1,Person 1,Person 1,Person 1,Person 1,Person 2,Person 2,Person 2,Person 2,Person 2,Person 2,Person 2,Person 2,Person 2,Person 2,Person 2,Events,Events,Events,Events,Events,Events,Assessments,Assessments,Report 1,Report 1,Report 2,Report 2,Report 1,
ACN,Date,Local Time Of Day,Locale Reference,State Reference,Relative Position.Angle.Radial,Relative Position.Distance.Nautical Miles,Altitude.AGL.Single Value,Altitude.MSL.Single Value,Latitude / Longitude (UAS),Flight Conditions,Weather Elements / Visibility,Work Environment Factor,Light,Ceiling,RVR.Single Value,ATC / Advisory,Aircraft Operator,Make Model Name,Aircraft Zone,Crew Size,Operating Under FAR Part,Flight Plan,Mission,Nav In Use,Flight Phase,Route In Use,Airspace,Maintenance Status.Maintenance Deferred,Maintenance Status.Records Complete,Maintenance Status.Released For Service,Maintenance Status.Required / Correct Doc On Board,Maintenance Status.Maintenance Type,Maintenance Status.Maintenance Items Involved,Cabin Lighting,Number Of Seats.Number,Passengers On Board.Number,Crew Size Flight Attendant.Number Of Crew,Airspace Authorization Provider (UAS),Operating Under Waivers / Exemptions / Authorizations (UAS),Waivers / Exemptions / Authorizations (UAS),Airworthiness Certification (UAS),Weight Category (UAS),Configuration (UAS),Flight Operated As (UAS),Flight Operated with Visual Observer (UAS),Control Mode (UAS),Flying In / Near / Over (UAS),Passenger Capable (UAS),Type (UAS),Number of UAS Being Controlled (UAS),Aircraft Component,Manufacturer,Aircraft Reference,Problem,ATC / Advisory,Aircraft Operator,Make Model Name,Aircraft Zone,Crew Size,Operating Under FAR Part,Flight Plan,Mission,Nav In Use,Flight Phase,Route In Use,Airspace,Maintenance Status.Maintenance Deferred,Maintenance Status.Records Complete,Maintenance Status.Released For Service,Maintenance Status.Required / Correct Doc On Board,Maintenance Status.Maintenance Type,Maintenance Status.Maintenance Items Involved,Cabin Lighting,Number Of Seats.Number,Passengers On Board.Number,Crew Size Flight Attendant.Number Of Crew,Airspace Authorization Provider (UAS),Operating Under Waivers / Exemptions / Authorizations (UAS),Waivers / Exemptions / Authorizations (UAS),Airworthiness Certification (UAS),Weight Category (UAS),Configuration (UAS),Flight Operated As (UAS),Flight Operated with Visual Observer (UAS),Control Mode (UAS),Flying In / Near / Over (UAS),Passenger Capable (UAS),Type (UAS),Number of UAS Being Controlled (UAS),Location Of Person,Location In Aircraft,Reporter Organization,Function,Qualification,Experience,Cabin Activity,Human Factors,Communication Breakdown,UAS Communication Breakdown,ASRS Report Number.Accession Number,Location Of Person,Location In Aircraft,Reporter Organization,Function,Qualification,Experience,Cabin Activity,Human Factors,Communication Breakdown,UAS Communication Breakdown,ASRS Report Number.Accession Number,Anomaly,Miss Distance,Were Passengers Involved In Event,Detector,When Detected,Result,Contributing Factors / Situations,Primary Problem,Narrative,Callback,Narrative,Callback,Synopsis,

1607756,201901,0601-1200,ZZZ.Airport,US,078,10,,4000,,VMC,5,,Daylight,5000,,TRACON ZZZ,Air Carrier,B757-200,,2,Part 121,IFR,Cargo / Freight / Delivery,,Final Approach,,Class C ZZZ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Aircraft X,Flight Deck,Air Carrier,Pilot Not Flying; Captain,Flight Crew Air Transport Pilot (ATP); Flight Crew Instrument; Flight Crew Multiengine,Flight Crew Last 90 Days 100; Flight Crew Total 15000; Flight Crew Type 6000,,Fatigue; Communication Breakdown,Party1 Flight Crew; Party2 Flight Crew,,1607756,Aircraft X,Flight Deck,Air Carrier,Pilot Flying; First Officer,Flight Crew Multiengine; Flight Crew Air Transport Pilot (ATP); Flight Crew Instrument,Flight Crew Total 6000; Flight Crew Type 575,,Communication Breakdown; Fatigue,Party1 Flight Crew; Party2 Flight Crew,,1607760,Deviation / Discrepancy - Procedural Published Material / Policy; Inflight Event / Encounter Unstabilized Approach,,,Person Flight Crew,In-flight,General None Reported / Taken,Environment - Non Weather Related; Equipment / Tooling; Human Factors,Human Factors,"Prior to arriving for duty; I attempted to take a nap in the evening. I slept for a couple of hours; but could not sleep more than that. I felt fine when arriving for duty. I was coming off of [several] days off. I was the pilot monitoring and the First Officer was the pilot flying. Weather was extremely clear and daylight. Light tailwind at altitude. Very light airplane with 10K fuel and empty cans. We were both extremely tired; and communication was degraded between us due to a loud cockpit and mixed headset use (I was using an ANR headset and the FO (First Officer) was using [an ear plug style headset] with the left plug out of his ear so he could hear me). As it turns out; this is not a good CRM setup and communication was compromised between us. I didn't realized the FO was struggling to hear me throughout the flight until we discussed it on the ground.ATC kept us very high before clearing a descent to intercept the ILS XXL about 5 miles from ZZZ. I mentioned to the First Officer that it was going to be difficult to shoot the approach due to this. We were slightly high and fast just outside ZZZ and I suggested we needed to drop the gear and slow down to get stabilized. We were still 10 to 15 knots fast as we approached ZZZZZ; but on glideslope and it looked like we would be on speed at 500 AGL. I suggested we may need to do a go-around. I thought the FO acknowledged; but after the fact he told me he wasn't sure if I was commanding a go-around and was thinking I was waiting to see the results of a continued approach. On our previous leg we discussed going around and the shared belief that a go-around at altitude should be a slow paced methodical event. The autopilot should be engaged and both crewmembers on the same page. I honestly thought that's where we were headed. I made a mistake at that time by not being very specific and commanding a go around. We were on speed and stable at 500 AGL and it was a normal landing. However; I felt we were at the limits of FOM compliance and I don't like to be in that situation.We talked about it in the parking lot and we both realized we were very tired and the FO felt he was behind. We both decided if we could do it again we should have executed a go-around to eliminate any potential for problems. Being kept high in a light airplane is always a challenge; but add fatigue and degraded CRM due to communication difficulties to the mix and the task saturation is very high. As a suggestion; it would be extremely helpful if [we] had hot mics. The enhancement to communication would be a dramatic improvement and a real safety addition.",,"The flight in question was the return leg to ZZZ that departed [early morning.] I was off for several days prior to this flight and got a 2 hour nap before going to work for the first leg. Initially; I felt well rested and ready to fly. That changed significantly on the second leg. By the top of descent; I was feeling very tired. On this leg I was the pilot flying and the Captain was pilot monitoring. We have flown together before and work well together from my perspective. We were arriving on the Arrival and approaching ZZZZZ we were still being held at 8000 feet. The CA (Captain) requested lower and we were finally cleared to descend to 4000 feet and cleared for the approach. Immediately the CA commented that it would be a challenge to get down; slowed up and configured in time. I heard the comment but did not respond to it or fully appreciate that he was really pointing out that we were already behind. I still felt fine. I recognize now that I was really tired and just not reacting as quickly as I normally would have. Once on the localizer I hit the appr button but it was a little too late and the aircraft failed to capture the glide slope. I initially hit the V/S button to regain the glideslope and then immediately realized we did not have enough time for that so I disconnected the autopilot. At that point I heard the CA say something about the gear but to be honest I was having a difficult time hearing him. He was wearing an ANR headset and talking a little soft. I struggled with it the whole flight but he did not know it because I failed to tell him. That was a CRM breakdown on my part. We got the gear down and started working the flaps and the aircraft began to slow rapidly. I heard the CA mention the approach was not looking good and I was preparing myself mentally to execute a go around. As we passed through 1000 feet I do not recall what the parameters were but we did managed to get stabilized by 500 feet and make a normal landing on speed in the touchdown zone. However; this approach never should have continued. Recognizing I was not fully stable and my situational awareness was deteriorating I should have executed the go-around procedure long before I ever got to the 1000 foot call. In the future if I find myself in a similar situation I will communicate more effectively with the CA and execute the go around early in order to slow things down and start again. Secondary causal factors in this event were my fatigue and a breakdown of communication between myself and the CA. Both of those factors could have been mitigated by better CRM on my part. I should have let the CA know how tired I was feeling and that I was having difficulty hearing him. Going forward I will take those lessons with me as well.",,"B757 flight crew reported communication breakdown between Captain and First Officer and degraded CRM during approach.",
1607850,201901,0001-0600,ZZZ.Airport,US,,,,6000,,VMC,,,Daylight,,,Tower ZZZ,Air Carrier,Regional Jet 200 ER/LR (CRJ200),,2,Part 121,IFR,Passenger,,Initial Approach,,Class B ZZZ,,,,,,,,,,,,,,,,,,,,,,,,,,,,Tower ZZZ,Air Carrier,B777 Undifferentiated or Other Model,,,Part 121,IFR,,,Takeoff / Launch,,Class B ZZZ,,,,,,,,,,,,,,,,,,,,,,,,Aircraft X,Flight Deck,Air Carrier,Captain; Pilot Flying,Flight Crew Instrument; Flight Crew Multiengine; Flight Crew Air Transport Pilot (ATP),,,Situational Awareness; Communication Breakdown,Party1 Flight Crew; Party2 ATC,,1607850,,,,,,,,,,,,ATC Issue All Types; Deviation / Discrepancy - Procedural Published Material / Policy; Inflight Event / Encounter Unstabilized Approach,,,Person Flight Crew,In-flight,Flight Crew Landed As Precaution,Human Factors; Procedure,Human Factors,"We were cleared to 6000 feet [on the] Visual; routing only XXL. We were then told the ILS just went out to expect a visual approach. At ZZZZZ were told to contact tower; which we thought was a bit early but headed over there anyway. The frequency was very congested and took several minutes for a break in transmissions for us to check-in. Tower asked if we were told to contact them. We responded 'yes; approach told us to contact tower'. Tower responded with 'ah; ok; cleared to land'. It seemed as though approach control sent us to tower early and tower was surprised we were there. We were very high so I disconnected the autopilot and slowed to configure the aircraft. The descent rate required was going to be steeper than normal but I still felt we would be stable by 1000 feet. In the descent; tower cleared a heavy 777 onto XXL and instructed them to line up and wait. They then told us to slow to final approach speed. We fully configured and slowed to final speed. At this point tower cleared the heavy 777 for takeoff and issued us a wake turbulence advisory. We were on speed and configured at 1000 feet; however; I believe our descent rate went above 1000 fpm momentarily. As I considered going around the 777 was rotating and we were very close in trail. I felt a go around into his wake would cause a serious threat due to our close proximity. I elected to continue to land. As we crossed the threshold we encountered the heavy 777's jet blast. A normal landing was made within the touchdown zone; but we did receive a 'don't sink' aural message.I believe the initial cause was that ATC forgot to forward the handoff to tower or they might have even missed sending us to another approach controller which left us very high. The close spacing to the departing heavy 777 and subsequent jet blast encounter contributed to the 'don't sink' aural message. Knowing what we do now; we should have turned down tower's clearance to land from the higher altitude and gotten sequenced back in line. Once we got in so close to the landing runway; I chose to land rather than fly into the wake turbulence of a departing heavy 777 during the go around maneuver; which we were within 2 miles in trail at a very low altitude. ATC's poor communication during the handoff was an additional factor that should not have happened.",,,,"CRJ Captain reported communication breakdown between flight crew and ATC resulted in an improper landing spacing.",
1607852,201901,0601-1200,ZZZ.Airport,US,,,500,,,VMC,,,Daylight,,,Tower ZZZ,Air Carrier,Regional Jet 200 ER/LR (CRJ200),,2,Part 121,,,,Initial Approach,,Class C ZZZ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Aircraft X,Flight Deck,Air Carrier,Captain; Pilot Flying,Flight Crew Instrument; Flight Crew Air Transport Pilot (ATP); Flight Crew Multiengine,,,Distraction; Physiological - Other; Communication Breakdown,Party1 Flight Crew; Party2 Flight Crew,,1607852,Aircraft X,Flight Deck,Air Carrier,Pilot Not Flying; First Officer,Flight Crew Air Transport Pilot (ATP); Flight Crew Instrument; Flight Crew Multiengine,,,Physiological - Other; Situational Awareness; Communication Breakdown; Workload,Party1 Flight Crew; Party2 Flight Crew,,1607851,Deviation / Discrepancy - Procedural Published Material / Policy; Inflight Event / Encounter Unstabilized Approach,,,Person Flight Crew,In-flight,General None Reported / Taken,Environment - Non Weather Related; Human Factors,Human Factors,"Flying straight into the sun; Non-flying Pilot called airport in sight and [we were] cleared for a visual approach. Flying Pilot did not have visual on runway. Approach became slightly high and configured late. Approach was stable and configured at the 500 foot call and landing was made without incident.The sun in the eyes was the main cause; in addition poor communication of the Non-flying Pilot with the flying pilot. If the sun is going to be a blinding factor in the approach; shoot the approach as a typical IMC approach ie ILS or GPS. Brief the Non-flying Pilot not to call visual in sight until both pilots have a visual on the airport.",,"We were [planning] for the visual backed up with the RNAV. Captain was pilot flying; I was pilot monitoring. Approximately 15 miles out we were on a vector and Tower asked us if we have the airport in sight. I saw the runway but I asked the Captain 'do you want me to call it in sight' [and] his response was 'if you see it; yeah' so we were cleared for the visual. We were still on our heading and about to go past final; so I asked the Captain if he could see the runway. He hesitated then realized he was going through final. This was at a 5 mile final; with our airspeed at 230 knots and flaps 0. He disconnected the autopilot; overshot final in the opposite direction; pulled spoilers; and started calling for flaps 8 and 20 once we are below 200. At 1000 feet above TDZE we had flaps 20 and 180 knots. We were not fully configured until 800 feet; and even then we were still about 20+ knots fast and at power idle. I should have called a go-around but made the mistake not to. I was task saturated with flaps and speeds. I brought up all of this in the debrief.The sun was directly in our eyes; the Captain didn't see the airport until we were going through the 5 mile final. I should have spoken up and called a go-around. I think that I was so caught up in helping the Captain get configured and set airspeeds; I was afraid that he wouldn't go around even if I called for it; and that would have taken up the time that I could have been configuring instead.I; as the First Officer; failed to speak up about doing a go around. In training we watch FOs that don't speak up and think that will never be me; of course I'd say something. Just becoming more aware of how we can all make the mistake of not speaking up.",,"CRJ-200 flight crew reported configuring late for a visual approach; partly due to flying directly into the sun.",
1607869,201901,0001-0600,ZZZ.Airport,US,,,,,,Marginal,Rain,,,400,,TRACON ZZZ,,Citation Excel (C560XL),,,,IFR,,GPS,Initial Approach,,Class B ZZZ,,,,,,,,,,,,,,,,,,,,,,,,GPS & Other Satellite Navigation,,X,Malfunctioning,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Aircraft X,Flight Deck,,Pilot Flying,Flight Crew Instrument; Flight Crew Multiengine,,,Troubleshooting; Workload,,,1607869,,,,,,,,,,,,Aircraft Equipment Problem Less Severe; Conflict Airborne Conflict; Inflight Event / Encounter Weather / Turbulence; Inflight Event / Encounter Unstabilized Approach,,,Person Flight Crew,In-flight,Air Traffic Control Provided Assistance; Flight Crew Took Evasive Action; Flight Crew Requested ATC Assistance / Clarification; Flight Crew Regained Aircraft Control; Flight Crew Executed Go Around / Missed Approach; Flight Crew FLC Overrode Automation; Flight Crew Overcame Equipment Problem,Aircraft,Aircraft,"While downwind on approach to XXL; GPS failed and Approach reported that radio was garbled and scratchy; after I called and reported loss of my primary navigational aids. I continued turning my #2 radio then the GPS (Garmin 430) came back on line. As I started the approach needles swayed back and forth then settled down. Glide slope needle centered on glide path and after a few a few seconds needle and aircraft nosed down violently at 3000 fpm. I grabbed the controls and abandoned the approach. Approach asked if I needed assistance. I stated that I had navigational problems but wanted to try again. During 2nd approach I slowed aircraft too early from 170kts as requested; because needles were less erratic; but trailing traffic was closing on me and tower told me to abandon the approach. On 3rd attempt I flew the approach manually and maintained centerline averaging the heading because localizer needle and flight director swayed left and right.",,,,"C560XL pilot reported GPS malfunction that caused the aircraft to pitch down violently on the approach.",
1608571,201901,1201-1800,ZZZ.Airport,US,,,0,,,VMC,,,Daylight,,,,Personal,Skyhawk 172/Cutlass 172,,2,Part 91,,Personal,,Landing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Aircraft X,Flight Deck,Personal,Pilot Not Flying; Instructor,Flight Crew Commercial; Flight Crew Flight Instructor,,,Situational Awareness; Training / Qualification,,,1608571,,,,,,,,,,,,Deviation - Speed All Types; Ground Event / Encounter Ground Strike - Aircraft; Inflight Event / Encounter Unstabilized Approach,,,Person Flight Crew,In-flight,Aircraft Aircraft Damaged,Human Factors,Human Factors,"Final landing of the flight was to be made with [pilot receiving instruction] flying the aircraft; previous approach to same runway resulted in a go-around due to low airspeed; and high flare. During approach to the incident landing pilot was at a better altitude however slow on airspeed. Pilot touched down at the stall horn; and immediately pulled the control back over rotating; resulting in an audible scrapping sound with aircraft on the runway center line in a nose up attitude. During the entire approach my hands were in a defensive position; right hand open in my lap ready to catch the yoke coming back; left hand resting on my knee to catch the yoke going forward. Pilot's rotation was quicker than expected; resulting in the tail striking the ground before I was able to catch the yoke.I believe there is little I could have done to prevent this incident from occurring. A stabilized approach to landing should have been required; or go-around executed. At no time did I believe that the landing was unsafe; and being a training flight (last lesson before stage 1 check) I felt it necessary for the student to see how the resultant landing would be or make the decision on their own to execute a go-around.",,,,"C172 flight instructor reported a ground strike due to an unstabilized approach by the pilot flying.",
1608682,201901,1801-2400,LGA.Airport,NY,,5,,1500,,,,,Night,,,Tower LGA,Air Carrier,B737-700,,2,Part 121,,,,Initial Approach,,Class B LGA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Aircraft X,Flight Deck,Air Carrier,Pilot Flying; Captain,Flight Crew Instrument; Flight Crew Multiengine; Flight Crew Air Transport Pilot (ATP),Flight Crew Last 90 Days 429; Flight Crew Type 8300,,Situational Awareness; Workload,,,1608682,Aircraft X,Flight Deck,Air Carrier,Pilot Flying; First Officer,Flight Crew Multiengine; Flight Crew Instrument; Flight Crew Air Transport Pilot (ATP),Flight Crew Type 2545,,Situational Awareness,,,1608375,Deviation / Discrepancy - Procedural Published Material / Policy; Inflight Event / Encounter Unstabilized Approach; Inflight Event / Encounter Weather / Turbulence; Inflight Event / Encounter CFTT / CFIT,,,Automation Aircraft Terrain Warning,In-flight,General None Reported / Taken,Weather; Human Factors,Human Factors,"While on the LGA LOC Runway 31 Approach at the final approach fix; we got a Caution Obstacle Warning while we were descending from the final approach fix (FARBY). The warning came on once and I continued because I was configured to land and the speed bug was close to the flap overspeed. I initially did not hear the warning because I was task saturated and listening to two radios at the same time while managing speed; altitude; and attitude all while in light to moderate chop. The First Officer notified me after the fact that the warning happened once. Since it was after the fact I continued the approach stabilized. In retrospect I should have initiated a go-around immediately. The approach winds were very turbulent at the time; and visibility was VFR.",,"We were running late at night into LGA. ATIS reported gusty winds; and Tower was calling a windshear report around 400 feet. We were configured flaps 40 with gear down. The Pilot Flying was fighting to keep the aircraft on the visual glideslope; and I was watching the airspeed because of the high gust factor and flaps 40 configuration. The aircraft started to sink slightly and speed dropped off. The Pilot Flying began to correct for both speed and altitude when we got a Caution Obstacle. I had the obstacle in sight and we were already back on the visual glideslope. At the time; I experienced some negative transfer from a previous aircraft where the crew could elect to continue with a caution as long as the flight path was corrected and the obstacle in sight; day or night. After landing; I remembered the night restriction in the maneuvers section and we discussed the incident as a crew during the [next] leg.",,"B737-700 flight crew reported continuing the approach to landing after receiving a GPWS obstacle warning on a night visual approach to LGA Runway 31.",
1608784,201901,0001-0600,ASE.Airport,CO,,,,,,VMC,,,,,,TRACON ASE,Air Taxi,Medium Transport,,2,Part 135,,Passenger,,Initial Approach,,Class D ASE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Aircraft X,Flight Deck,Air Taxi,First Officer; Pilot Not Flying,Flight Crew Air Transport Pilot (ATP),,,Workload; Situational Awareness; Distraction,,,1608784,,,,,,,,,,,,Deviation / Discrepancy - Procedural Published Material / Policy; Inflight Event / Encounter Unstabilized Approach; Inflight Event / Encounter CFTT / CFIT,,,Person Flight Crew,In-flight,General None Reported / Taken,Human Factors; Weather,Human Factors,"Nearing ASE; ATC mentioned the winds had changed to a tailwind which would exceed the landing tailwind limit. At first; the Captain said no but then changed his mind and told ATC we would attempt the approach and would decide closer in. We were given a heading to intercept the LOC DME E approach into ASE. The heading that was given caused us to overshoot the LOC and at the same time started to slow and configure at the same time ATC mentioned the winds had changed. As far as I can remember; it was 340 at 8 knots. By DOYPE; we broke out into visual conditions and continued configuring and lagged on the descent. Since we were visual and configured the descent was increased causing terrain alerts and; one that I can remember; 'pull up' GWPS while the speed brakes were being deployed. We were about 130 KTS fully configured and speed brakes but did not notice the descent rate. About 300 FT AGL; everything seemed to be stable and a smooth landing was made with no further event.Looking back; it was a chain reason after we did not divert. Earlier configuration should had been completed but trying to comply with ATC heading and altitudes distracted us from fully configuring and descending earlier.",,,,"Air taxi First Officer reported receiving a GPWS terrain alert on approach into ASE.",
1608845,201901,0001-0600,DTW.Airport,MI,,,,,,VMC,,,Daylight,,,TRACON D21,Air Carrier,Regional Jet 200 ER/LR (CRJ200),,2,Part 121,IFR,Passenger,FMS Or FMC,Initial Approach,Visual Approach,Class B DTW,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRACON D21,,Any Unknown or Unlisted Aircraft Manufacturer,,,,IFR,,,Initial Approach,,Class B DTW,,,,,,,,,,,,,,,,,,,,,,,,Aircraft X,Flight Deck,Air Carrier,Captain; Pilot Flying,Flight Crew Multiengine; Flight Crew Air Transport Pilot (ATP); Flight Crew Instrument,,,Situational Awareness,,,1608845,Aircraft X,Flight Deck,Air Carrier,First Officer; Pilot Not Flying,Flight Crew Instrument; Flight Crew Multiengine; Flight Crew Air Transport Pilot (ATP),,,Situational Awareness,,,1608843,Deviation - Speed All Types; Deviation / Discrepancy - Procedural Published Material / Policy; Inflight Event / Encounter Unstabilized Approach; Inflight Event / Encounter Wake Vortex Encounter; Inflight Event / Encounter Weather / Turbulence,,,Person Flight Crew,In-flight,General None Reported / Taken,Environment - Non Weather Related; Human Factors; Weather,Ambiguous,"Flight was without incident up until the approach phase turning base to final for a visual to Runway 21L. We were vectored behind another heavier aircraft that was high on the localizer inbound and within 5 miles of said aircraft experienced wake turbulence while on the localizer. I was the pilot flying and immediately disengaged the autopilot; maintained a speed that was above the bucket/speed bug and informed my First Officer that we would remain a half dot high for the rest of the approach. Our speed clearance was to maintain 170 KIAS to 5 miles. Everything was standard up to the final approach fix where the aircraft was fully configured and I hand flew the aircraft a half dot high to avoid any subsequent wake. We adjusted our Vref speed for 5 knots more than necessary on the speed chart to account for the gust conditions at the airport (gusting up to 25 KIAS). I remained inside the bucket or about 5 KIAS faster than the Vref speed and the First Officer never saw any speed deviations. At approximately 800 feet AGL we experienced a stall shaker (about 3 seconds) with no continuous ignition indication. I pitched the aircraft down to get above the Vref speed and the shaker stopped. With the aircraft full configured and that close to the ground in gusty conditions I elected to continue the approach and we landed on speed normally with a right crosswind within the first 1000 feet of runway. Gusty wind conditions at the arrival airport and possible wake turbulence. This sort of event can't usually be avoided inside the marker on visual approached into airports with gusty conditions. Mitigating the threat by flying a slightly faster Vref speed and flying slightly above the glide slope to avoid wake helps. Possible simulator scenarios with super gusty conditions and turbulence at ground level where speed fluctuates and momentary shaker occurs would help to highlight aircraft control and escape in the event of these scenarios.",,"While on the visual for 21R into DTW; our aircraft was vectored behind another aircraft. The other aircraft was higher and within 5 miles of our own. After experiencing some wake turbulence; the Captain (who was pilot flying) disengaged the autopilot and flew half a dot above the localizer and at the top of the speed bug. While inside the final approach fix; at around 800 FT AGL the aircraft was on speed when a brief stick shaker was experienced; with no continuous ignition activated. The Captain pitched down to speed up above Vref and the stick shaker stopped. With the aircraft close to the ground; in gusty conditions; the Captain continued the approach to land. Landed on speed with a right crosswind.",,"CRJ-200 flight crew reported experiencing a brief stick shaker in gusty wind conditions and following a possible wake turbulence encounter on short final in DTW.",
