 ,Time,Time,Place,Place,Place,Place,Place,Place,Place,Environment,Environment,Environment,Environment,Environment,Environment,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Component,Component,Component,Component,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Person 1,Person 1,Person 1,Person 1,Person 1,Person 1,Person 1,Person 1,Person 1,Person 1,Person 1,Person 2,Person 2,Person 2,Person 2,Person 2,Person 2,Person 2,Person 2,Person 2,Person 2,Person 2,Events,Events,Events,Events,Events,Events,Assessments,Assessments,Report 1,Report 1,Report 2,Report 2,Report 1,
ACN,Date,Local Time Of Day,Locale Reference,State Reference,Relative Position.Angle.Radial,Relative Position.Distance.Nautical Miles,Altitude.AGL.Single Value,Altitude.MSL.Single Value,Latitude / Longitude (UAS),Flight Conditions,Weather Elements / Visibility,Work Environment Factor,Light,Ceiling,RVR.Single Value,ATC / Advisory,Aircraft Operator,Make Model Name,Aircraft Zone,Crew Size,Operating Under FAR Part,Flight Plan,Mission,Nav In Use,Flight Phase,Route In Use,Airspace,Maintenance Status.Maintenance Deferred,Maintenance Status.Records Complete,Maintenance Status.Released For Service,Maintenance Status.Required / Correct Doc On Board,Maintenance Status.Maintenance Type,Maintenance Status.Maintenance Items Involved,Cabin Lighting,Number Of Seats.Number,Passengers On Board.Number,Crew Size Flight Attendant.Number Of Crew,Airspace Authorization Provider (UAS),Operating Under Waivers / Exemptions / Authorizations (UAS),Waivers / Exemptions / Authorizations (UAS),Airworthiness Certification (UAS),Weight Category (UAS),Configuration (UAS),Flight Operated As (UAS),Flight Operated with Visual Observer (UAS),Control Mode (UAS),Flying In / Near / Over (UAS),Passenger Capable (UAS),Type (UAS),Number of UAS Being Controlled (UAS),Aircraft Component,Manufacturer,Aircraft Reference,Problem,ATC / Advisory,Aircraft Operator,Make Model Name,Aircraft Zone,Crew Size,Operating Under FAR Part,Flight Plan,Mission,Nav In Use,Flight Phase,Route In Use,Airspace,Maintenance Status.Maintenance Deferred,Maintenance Status.Records Complete,Maintenance Status.Released For Service,Maintenance Status.Required / Correct Doc On Board,Maintenance Status.Maintenance Type,Maintenance Status.Maintenance Items Involved,Cabin Lighting,Number Of Seats.Number,Passengers On Board.Number,Crew Size Flight Attendant.Number Of Crew,Airspace Authorization Provider (UAS),Operating Under Waivers / Exemptions / Authorizations (UAS),Waivers / Exemptions / Authorizations (UAS),Airworthiness Certification (UAS),Weight Category (UAS),Configuration (UAS),Flight Operated As (UAS),Flight Operated with Visual Observer (UAS),Control Mode (UAS),Flying In / Near / Over (UAS),Passenger Capable (UAS),Type (UAS),Number of UAS Being Controlled (UAS),Location Of Person,Location In Aircraft,Reporter Organization,Function,Qualification,Experience,Cabin Activity,Human Factors,Communication Breakdown,UAS Communication Breakdown,ASRS Report Number.Accession Number,Location Of Person,Location In Aircraft,Reporter Organization,Function,Qualification,Experience,Cabin Activity,Human Factors,Communication Breakdown,UAS Communication Breakdown,ASRS Report Number.Accession Number,Anomaly,Miss Distance,Were Passengers Involved In Event,Detector,When Detected,Result,Contributing Factors / Situations,Primary Problem,Narrative,Callback,Narrative,Callback,Synopsis,

1780073,202101,1801-2400,ZZZ.Tower,US,,,,,,,,,,,,Tower ZZZ,,Any Unknown or Unlisted Aircraft Manufacturer,,2,Part 121,IFR,Passenger,,Final Approach,,Class C ZZZ,,,,,,,,,,,,,,,,,,,,,,,,,,,,Tower ZZZ,,Any Unknown or Unlisted Aircraft Manufacturer,,,,,,,Final Approach,,Class C ZZZ,,,,,,,,,,,,,,,,,,,,,,,,Facility ZZZ.Tower,,Government,Local,Air Traffic Control Fully Certified,Air Traffic Control Time Certified In Pos 1 (yrs) 3,,Troubleshooting; Workload; Communication Breakdown; Confusion; Distraction; Situational Awareness; Time Pressure; Training / Qualification,Party1 ATC; Party2 Flight Crew,,1780073,,,,,,,,,,,,ATC Issue All Types; Conflict Airborne Conflict; Deviation - Speed All Types; Deviation / Discrepancy - Procedural Published Material / Policy,,,Person Air Traffic Control,In-flight,Air Traffic Control Issued New Clearance; Air Traffic Control Provided Assistance; Air Traffic Control Issued Advisory / Alert,Human Factors; Staffing; ATC Equipment / Nav Facility / Buildings; Airport; Environment - Non Weather Related,Environment - Non Weather Related,"First day back after being off for two weeks for COVID-19 quarantine; we don't even have half of our normal staffing which is already low due to COVID.  Total number of CPC's for the day is only 6 when normally it would be at least XX.I get put on the LC1 position with no assist or LC2; I was told that there was a CFR [Call For Release] in effect for ZZZ.  It ended being super busy and it seemed like there was no flow put in place; we were pretty much operating business as usual.  I did not receive much spacing on final and I even had to send an aircraft around because of an overtake and lack of runway separation.  Approach also sent in an uncoordinated early turn IFR jet from the north east; I had to adjust his flight path to de conflict him from the [aircraft in the] traffic pattern and from a departure I had rolling on [Runway] XXR.  This created another conflict with another arrival they had doing 180 kts that they never slowed down.It was pretty overwhelming to work that volume/complexity of traffic after two weeks off and not being able to ease back into the work flow; especially when we have limited staffing/positions open and with TRACON not following the LOA's and traffic flow directives.We are going to be operating in this limited capacity working 6 days a week 10 hours a day for the next week.  There needs to be better communication and an understanding of the unfortunate circumstances that we will be working under for the next week.  It is completely unsafe to operate business as usual and I'm hoping there will be better coordination going forward.",,,,"Tower Controller reported an airborne conflict resulting in an aircraft having to execute a go-around. Controller cited staffing and traffic volume as a contributing factors.",
1780376,202101,0001-0600,ASE.TRACON,CO,,,,11000,,Marginal,,,Dusk,,,TRACON ASE,Air Carrier,Commercial Fixed Wing,,,Part 121,IFR,Passenger,,Initial Approach,,Class E ZDV,,,,,,,,,,,,,,,,,,,,,,,,Instrument and Control Panels,,X,Malfunctioning,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Aircraft X,Flight Deck,Air Carrier,First Officer; Pilot Not Flying,,,,Workload; Situational Awareness; Confusion; Human-Machine Interface,,,1780376,Aircraft X,,Air Carrier,Pilot Flying; Captain,,,,Workload; Training / Qualification; Confusion; Situational Awareness; Time Pressure,,,1780378,ATC Issue All Types; Aircraft Equipment Problem Less Severe; Deviation - Track / Heading All Types; Deviation / Discrepancy - Procedural Published Material / Policy; Inflight Event / Encounter CFTT / CFIT; Inflight Event / Encounter Weather / Turbulence,,,,,Air Traffic Control Provided Assistance; Air Traffic Control Issued New Clearance; Air Traffic Control Issued Advisory / Alert; Flight Crew Executed Go Around / Missed Approach; Flight Crew Requested ATC Assistance / Clarification,Chart Or Publication; Procedure; Human Factors; Aircraft; Airspace Structure,Human Factors,"On route to the airport the First Officer's Multi Function display failed. We decided to continue destination airport because it was not required equipment. Then we were informed the weather at the airport was deteriorating unexpectedly. We completed all the required tasks and checklist before the we were cleared for the approach. On approach we realized that we were too high and our descent profile was going to be unacceptable for a stable approach. Around 11;000 ft. the Captain called for the Missed Approach. We executed the Missed Approach with no issues and cleaned up the aircraft and started climbing to the missed approach altitude. We were at the missed approach altitude and Captain called for the auto pilot on. During this time there was a bit of confusion and the right turn and swapping the navigation displays and setting the new course for the back course was slow to be executed. We turned to the heading too slow and never intercepted the back course. Once we figured out that we didn't intercept the back course we had the Course Deviation Indicator full-scale deflection. ATC gave us a new altitude and a new heading to start the restart the approach. We got vectored around to the Initial Approach Fix to restart the approach and completed the second approach stabilized without any issues. Failure to comply with the approach profile and the missed approach profile.",,"I neglected to call for the First Officer to start our descent. The First Officer noticed my mistake; but by this time we were very high. My initial reaction was to deploy the boards and steepen the descent in an attempt to get back on profile; however I quickly realized it wasn't going to work and we were unstabilized. I called for a missed approach when we were at roughly 11;000 ft.  Because we went missed early; I called for the autopilot on once we reached the published missed approach altitude of 14;200 ft. This caused confusion as to who should complete the tasks of spinning the heading knob to the 300 heading; swapping the RTU's; and setting the course to 303. I decided to have the First Officer complete these to stay as on-profile as possible. The first two tasks; the 300 heading and swapping the RTU's; were completed however the task of setting the 303 course was not. This led to ATC querying us about our progress on the missed approach and soon after issuing an altitude alert with an instruction to climb to 15;000 ft. By the time we figured out our mistake we were showing full-scale deflection on the Course Deviation Indicator. In addition to not setting the course; I made the mistake of accelerating to 200 kts. and calling climb sequence once level at 14;200 ft. instead of waiting until outbound per the profile. I should also add that the First Officer MFD failed enroute and this most likely caused a reduction in situational awareness throughout the rest of the flight. Failure to comply with the LOC/DME 15 approach profile; especially the missed approach segment.",,"Air carrier flight crew reported they failed to comply with the approach profile and the missed approach segment to ASE airport.",
1780494,202101,1201-1800,SNA.Airport,CA,,,,,,,Clear; 10,,,10000,,CTAF SNA,Personal,Small Aircraft,,,Part 91,VFR,Personal,,Taxi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CTAF SNA,,Any Unknown or Unlisted Aircraft Manufacturer,,,,,,,Final Approach,,Class E SCT,,,,,,,,,,,,,,,,,,,,,,,,Aircraft X,Flight Deck,Personal,Pilot Flying; Single Pilot,,Flight Crew Last 90 Days 50; Flight Crew Total 2900; Flight Crew Type 2800,,Communication Breakdown; Situational Awareness,Party1 Flight Crew; Party2 Flight Crew,,1780494,,,,,,,,,,,,Conflict Ground Conflict; Critical; Deviation / Discrepancy - Procedural Published Material / Policy; Ground Incursion Runway,Horizontal 1000,,Person Flight Crew,In-flight,Flight Crew Took Evasive Action,Airport; Procedure; Human Factors,Human Factors,"Tower closed pilot to pilot radio. Announced intentions to take off. Another aircraft on short approach did not announce properly and on very short final shouted "stop!". Stopped 5 ft. from hold line and turned around. Pilots need to properly announce position and intention in non towered circumstances.",,,,"Pilot departing SNA where the Tower was closed reported they began to enter the runway with another aircraft on short final which had not reported its positions properly. The aircraft on short final advised the reporter to stop taxiing.",
1780824,202101,0601-1200,ZZZZ.Airport,FO,,,0,,,VMC,wind gusts; 10,,Daylight,3500,,,Personal,Small Aircraft,,1,Part 91,None,Personal,,Landing,Direct; Visual Approach,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Aircraft X,Flight Deck,Personal,Pilot Flying; Single Pilot,Flight Crew Instrument; Flight Crew Private,Flight Crew Last 90 Days 45; Flight Crew Total 1500; Flight Crew Type 330,,Situational Awareness,,,1780824,,,,,,,,,,,,Ground Event / Encounter Ground Strike - Aircraft; Ground Event / Encounter Loss Of Aircraft Control; Ground Excursion Runway; Inflight Event / Encounter Weather / Turbulence,,,,,Aircraft Aircraft Damaged,Human Factors; Weather,Ambiguous,"On landing; wind gust blew plane off [centerline]; Added full power for go-around and plane continued to turn from the runway. All airspeed lost and plane dropped (maybe 5-10 feet). One landing gear sheared off and plane went into grass to south of runway and other landing gear and wing broke. Pilot some minor scratches. Passenger no injury. Walked away from the plane.",,,,"Small aircraft pilot reported the aircraft was damaged after a hard landing incident.",
1780850,202101,1201-1800,23M.Airport,MS,,,,,,VMC,10,,Daylight,,,CTAF ZZZ,Personal,Small Aircraft,,1,Part 91,None,Personal,,Landing,Visual Approach,Class G Y,,,,,,,,,,,,,,,,,,,,,,,,Throttle/Power Lever,,X,Malfunctioning,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Aircraft X,Flight Deck,Personal,Single Pilot; Pilot Flying,Flight Crew Private,,,Troubleshooting; Situational Awareness; Distraction; Communication Breakdown,Party1 Flight Crew; Party2 Other,,1780850,,,,,,,,,,,,Aircraft Equipment Problem Critical; Deviation / Discrepancy - Procedural FAR; Deviation / Discrepancy - Procedural Published Material / Policy; Ground Incursion Runway,,N,Person Other Person; Person Flight Crew,Other after landing,Flight Crew Became Reoriented,Chart Or Publication; Airport; Aircraft,Chart Or Publication,"On Date; I planned a flight to land at 23M Clarke County (a non towered field); then on to ZZZ. I obtained a full flight briefing through Foreflight prior to departure and confirmed that the only airport NOTAM for 23M was that the PAPI for runway 34 was unusable. I departed and had an uneventful flight en route to 23M. About 6 miles from 23M; I announced my position and intention to land on runway 16 on the CTAF. I made position reports again on turning left downwind; left base; and final. Abeam the numbers on downwind leg; I reduced throttle to normal MAP for landing. As I turned from base to final; I went to reduce throttle to idle; but the throttle stuck at about 12 inches MAP. As I approached the runway; I tried very diligently to get the throttle unstuck by turning the throttle tension knob and firmly pulling on the throttle. I was able to get the throttle to pull back to idle just before crossing the runway threshold and proceeded to land on runway 16 at 23M. Once on the ground; a voice came over the radio that said 'You can't land here; the airport is closed; didn't you see the yellow X on the runway?' I had not seen any X's on the runway on approach. At this point I reached the entry to the taxiway and saw that it was blocked off. I responded that I was having a semi-emergency and was troubleshooting a stuck throttle. They asked if there was anything they could do to help. I replied no and that I think I had the problem resolved and would immediately back taxi and take back off. I told them I checked NOTAMs before I departed and that I hadn't seen any NOTAMS about a closure; to which they replied 'Well I don't know how that happened.' He stated that they had no fuel and something about that being why the airport was closed; which did not completely make sense to me at the time. I cycled the throttle several times to ensure it was not sticking and the engine responded properly. There were no obstructions on the runway that would prevent takeoff and there were no workers visible around the runway. As I taxied back to the takeoff end of runway 16; I was thinking about how I did not see any X's on the runway and how there was no NOTAM for the airport being closed when I did my briefing just an hour or so prior. I felt like a real bonehead for missing this. When I got to the end of the runway; I saw that there was in fact NO X ON THE PAVED RUNWAY INDICATING IT WAS CLOSED. There was a yellow X laying on the grass leading up to the runway threshold; but there were no markings on the runway itself. I departed without issue and returned to my home airport. I checked the NOTAMs for the airport again and confirmed that there were no NOTAMs for 23M being closed on this date. Three issues stand out to me in this situation. First; if a runway is to be closed; the yellow X needs to be ON the runway; not in the grass leading up to the runway. All examples of runway closure markings I have ever seen have been ON the runway surface. Second; if an airport or runway is to be temporarily closed; there should be a NOTAM for that closure. Third; while there was an X on the grass leading up to the runway; I did not see it on final approach due to being preoccupied troubleshooting the stuck throttle. In the future; I will do a more thorough job of looking AROUND the runway for yellow X's while on downwind leg and on final approach. I am not sure if an unauthorized individual may have placed the X's in the grass and the airport wasn't really officially closed. The person on the CTAF did not identify themselves so I do not know if they were airport officials or someone else. The lack of a NOTAM and improper placement of the X's leads me to think this may not have been an official airport closure. Nevertheless; I will do a better job of scanning the area around the runway from now on for any indication of problems.",,,,"Single Private Pilot reported landing at a closed airport; but there was no Notam or 'X' on runway indicating 'closed' but preceding the runway in the grass was the X.",
1780882,202101,1801-2400,ZAN.ARTCC,AK,,,,9000,,IMC,Icing,,,,,Center ZAN,,Caravan Undifferentiated,,1,,IFR,Other unknown,,Final Approach,Other Instrument Approach,Class D JNU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Aircraft X; Facility ZAN.ARTCC,,Government,Enroute,Air Traffic Control Fully Certified,Air Traffic Control Time Certified In Pos 1 (yrs) 4,,,,,1780882,,,,,,,,,,,,Inflight Event / Encounter CFTT / CFIT; Inflight Event / Encounter Weather / Turbulence,,,Person Air Traffic Control,In-flight,Air Traffic Control Provided Assistance; Flight Crew Landed in Emergency Condition; Flight Crew Returned To Departure Airport,Weather,Weather,"Aircraft X departed JNU for ZZZ; but changed destination shortly after to return to JNU because the pilot reported that ZZZ winds would not allow for an approach. Aircraft X initially climbed to 090; but requested descent to 080 for moderate icing. I cleared Aircraft X back to the JNU airport via direct SSR direct; to expect the LDA Z 8 approach; as requested.I cleared Aircraft X for the LDA Z 8 approach; to cross SSR at or above 060. Shortly after progressing SSR; the aircraft transmitted that they were back in the icing and had 'quite a bit of ice on the wing' and said they were unsure if they would be able to maintain the transition altitude of 056 until LYNNS intersection. The aircraft then descended to 052; below the approach altitude. I issued a low altitude alert; and instructed Aircraft X to climb to meet the transition altitude. Aircraft X reported they would attempt to climb; but were unable and appeared to level off at 050 in a 060 MIA (Minimum IFR Altitude); and requested to transition over to the RNAV W 8 approach via JIGMI; as the approach had a lower transition altitude. Seeing as the aircraft had already progress JIGMI; I asked if they would be able to establish themselves on to a published portion of the approach if I provided a heading to join. the pilot said affirmative; so I issued a 10 degree turn to the right to join the RNAV W 8 approach; and to steer the aircraft away form higher terrain to the NW; as it was clear they would be unable to climb. I then informed the pilot that I was providing priority handling for them. Aircraft X was able to maintain 050 until joining the RNAV W 8 approach; at which time I issued the approach clearance and confirmed that the aircraft would be able to maintain the new transition altitudes of that approach. The pilot confirmed that they would; and was able to safely fly the approach to landing.",,,,"Anchorage Center Controller reported C208 encountered icing on approach resulted in decent below MIA.",
1780917,202101,1801-2400,ZZZ.TRACON,US,150,7,,2300,,,,,Dusk,,,TRACON ZZZ,Air Carrier,B737-700,,2,Part 121,IFR,Passenger,,Initial Approach,Visual Approach,Class B ZZZ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Aircraft X,Flight Deck,Air Carrier,First Officer; Pilot Not Flying,Flight Crew Air Transport Pilot (ATP); Flight Crew Multiengine; Flight Crew Instrument,,,Confusion; Human-Machine Interface,,,1780917,Aircraft X,Flight Deck,Air Carrier,Pilot Flying; Captain,,Flight Crew Last 90 Days 83; Flight Crew Type 83,,Human-Machine Interface,,,1781962,Deviation / Discrepancy - Procedural Published Material / Policy; Inflight Event / Encounter CFTT / CFIT,,,Person Air Traffic Control,In-flight,Air Traffic Control Issued Advisory / Alert; Flight Crew Became Reoriented; Flight Crew Returned To Clearance,Human Factors,Human Factors,"We were on a visual approach to Runway XXL at ZZZ at 3;000 feet. Approach cleared us for a visual approach about 7 miles out and we were giving a heading towards the FAF following an airbus. PF set 2;000 feet in the MCP and we began a slow descent heading inbound to the airport. ATC issued a 'low altitude alert' at about 2;300 feet. We leveled off and intercepted the G/S just past the FAF. In addition; we had to rapidly slow since the airbus in front slowed rapidly and ATC wanted us to slow to approximately 150 knots or less. They really did not leave us much lateral room. We slowed and configured while descending. We were never near an obstacle; nor were we a threat to another aircraft. We were still above the 1;000 feet stable approach criteria (1;300 to 1;500 feet) and met the criteria proof to reaching 1;000 feet. We were lower than what was normally flow for that area but still seamed safe. Again on a visual approach. PF stated that he read 2;000 feet at the FAF and misread the altitude. The FAF altitude is 2;800 feet. I did not reverify it since we were visual and I was working on setting up radios and configuration for landing. I assumed he saw it correctly.I can't find where we violated anything. We were a little low for the area but still in a safe position to land and had visual clearance from all obstacles. I know next time to verify the altitude in the MCP from the chart myself. That is that only thing that may have stopped the lower alt in the first place.",,"On receiving landing clearance; I set 2;000 feet in the altitude window and planned to descend to that altitude at ZZZZZ; the FAF.  I misread the approach plate. The correct altitude at ZZZZZ is 2;800 feet. The Tower gave us a Low Altitude Alert at 2;200 MSL in VMC and we maintained that altitude (we were nearly at glideslope intercept) until glideslope intercept.  We landed uneventfully.",,"Air carrier flight crew reported entering the wrong altitude in the MCP and descending below FAF altitude which resulted in Air Traffic Control issuing a low altitude alert.",
1780938,202101,0601-1200,LAX.Tower,CA,,,,1400,,IMC,Cloudy,,,,,Tower LAX,Air Carrier,Commercial Fixed Wing,,,Part 121,IFR,Passenger,,Final Approach,,Class B LAX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Medium Transport,,,Part 121,IFR,,,Final Approach,,Class B LAX,,,,,,,,,,,,,,,,,,,,,,,,Aircraft X,Flight Deck,Air Carrier,Pilot Flying; Captain,,Flight Crew Last 90 Days 63; Flight Crew Total 2507; Flight Crew Type 2507,,Situational Awareness; Training / Qualification,,,1780938,Aircraft X,Flight Deck,Air Carrier,First Officer; Pilot Not Flying,Flight Crew Air Transport Pilot (ATP),Flight Crew Last 90 Days 52; Flight Crew Total 183; Flight Crew Type 183,,Situational Awareness; Time Pressure,,,1780945,ATC Issue All Types,,,Person Air Traffic Control; Person Flight Crew,In-flight,Air Traffic Control Issued New Clearance; Flight Crew Executed Go Around / Missed Approach,Human Factors; Procedure,Human Factors,"On the transition to an ILS Approach. Once we were handed over to Approach we were given different speeds along the approach which is typical. It was IMC with a reported ceiling of 700 ft. We were given 160 kts. and handed over to Tower frequency. The aircraft we were following at the time was 5 miles ahead of us. Approximately 3 miles outside of the final approach fix I saw on the TCAS an aircraft turning a right base and appeared to be sequencing in front of us. Tower shortly after instructed us to slow to approach speed which was 135 kts. We were then told we were following Aircraft Y. The Aircraft Y was approximately 2 miles ahead of us. I told the First Officer to plan on a go-around. I had fully briefed the approach prior to Top of Descent. Tower then asked the Aircraft Y to do a midfield landing due to separation. Around 1;400 ft. we were told to go-around. It was a normal go-around profile and we were vectored back for a normal landing.",,"Crew was on approach. Initial ATIS reported ceilings 400 feet and 1/2 mile visibility. Crew elected to transfer controls to the Captain and execute an auto-land approach for currency and to increase safety margin. Approach was commencing normally with positive airspeed control by ATC. Approximately 4 miles from Final Approach Fix ATC vectored an aircraft onto final ahead of us. Aircraft rolled out approximately 2 miles ahead on final as indicated by TCAS. We were handed off to Tower and given clearance to land number two. Preceding aircraft was instructed to expedite turnoff after landing due to close interval. At approximately 800 feet. and at the top of the IMC layer; Tower canceled landing clearance and directed a climb to 2;000 feet and track localizer inbound. Crew conducted a normal go-around. Aircraft was vectored to a second approach and a normal landing ensued.",,"Air carrier flight crew conducting an auto-land reported LAX ATC issued them a go-around due to insufficient spacing with the preceding landing aircraft.",
