method,text_analysis_method,final_model,precision,recall,f1,roc_auc,pr_auc,test_rows,test_unstable_cases,short_interpretation
Method 1,TF-IDF text classification,Logistic Regression,0.6049,0.6577,0.6302,0.8966,0.6733,1578,298,Best overall balance across the final test metrics.
Method 2,Doc2Vec embedding classification,Logistic Regression,0.4506,0.7349,0.5587,0.844,0.5254,1578,298,"Higher recall than DistilBERT, but weakest overall balance."
Method 3,DistilBERT transfer learning,DistilBERT classifier,0.6225,0.5201,0.5667,0.8749,0.6213,1578,298,"Stronger than Doc2Vec overall, but still below Method 1."
