Environment | Ceiling,count,percent
Missing,8488,76.02
12000,515,4.61
CLR,246,2.2
10000,245,2.19
5000,133,1.19
25000,127,1.14
20000,98,0.88
3000,76,0.68
6000,73,0.65
4000,64,0.57
3500,61,0.55
2000,52,0.47
1000,47,0.42
1500,43,0.39
2500,42,0.38
