 ,Time,Time,Place,Place,Place,Place,Place,Place,Place,Environment,Environment,Environment,Environment,Environment,Environment,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Component,Component,Component,Component,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Person 1,Person 1,Person 1,Person 1,Person 1,Person 1,Person 1,Person 1,Person 1,Person 1,Person 1,Person 2,Person 2,Person 2,Person 2,Person 2,Person 2,Person 2,Person 2,Person 2,Person 2,Person 2,Events,Events,Events,Events,Events,Events,Assessments,Assessments,Report 1,Report 1,Report 2,Report 2,Report 1,
ACN,Date,Local Time Of Day,Locale Reference,State Reference,Relative Position.Angle.Radial,Relative Position.Distance.Nautical Miles,Altitude.AGL.Single Value,Altitude.MSL.Single Value,Latitude / Longitude (UAS),Flight Conditions,Weather Elements / Visibility,Work Environment Factor,Light,Ceiling,RVR.Single Value,ATC / Advisory,Aircraft Operator,Make Model Name,Aircraft Zone,Crew Size,Operating Under FAR Part,Flight Plan,Mission,Nav In Use,Flight Phase,Route In Use,Airspace,Maintenance Status.Maintenance Deferred,Maintenance Status.Records Complete,Maintenance Status.Released For Service,Maintenance Status.Required / Correct Doc On Board,Maintenance Status.Maintenance Type,Maintenance Status.Maintenance Items Involved,Cabin Lighting,Number Of Seats.Number,Passengers On Board.Number,Crew Size Flight Attendant.Number Of Crew,Airspace Authorization Provider (UAS),Operating Under Waivers / Exemptions / Authorizations (UAS),Waivers / Exemptions / Authorizations (UAS),Airworthiness Certification (UAS),Weight Category (UAS),Configuration (UAS),Flight Operated As (UAS),Flight Operated with Visual Observer (UAS),Control Mode (UAS),Flying In / Near / Over (UAS),Passenger Capable (UAS),Type (UAS),Number of UAS Being Controlled (UAS),Aircraft Component,Manufacturer,Aircraft Reference,Problem,ATC / Advisory,Aircraft Operator,Make Model Name,Aircraft Zone,Crew Size,Operating Under FAR Part,Flight Plan,Mission,Nav In Use,Flight Phase,Route In Use,Airspace,Maintenance Status.Maintenance Deferred,Maintenance Status.Records Complete,Maintenance Status.Released For Service,Maintenance Status.Required / Correct Doc On Board,Maintenance Status.Maintenance Type,Maintenance Status.Maintenance Items Involved,Cabin Lighting,Number Of Seats.Number,Passengers On Board.Number,Crew Size Flight Attendant.Number Of Crew,Airspace Authorization Provider (UAS),Operating Under Waivers / Exemptions / Authorizations (UAS),Waivers / Exemptions / Authorizations (UAS),Airworthiness Certification (UAS),Weight Category (UAS),Configuration (UAS),Flight Operated As (UAS),Flight Operated with Visual Observer (UAS),Control Mode (UAS),Flying In / Near / Over (UAS),Passenger Capable (UAS),Type (UAS),Number of UAS Being Controlled (UAS),Location Of Person,Location In Aircraft,Reporter Organization,Function,Qualification,Experience,Cabin Activity,Human Factors,Communication Breakdown,UAS Communication Breakdown,ASRS Report Number.Accession Number,Location Of Person,Location In Aircraft,Reporter Organization,Function,Qualification,Experience,Cabin Activity,Human Factors,Communication Breakdown,UAS Communication Breakdown,ASRS Report Number.Accession Number,Anomaly,Miss Distance,Were Passengers Involved In Event,Detector,When Detected,Result,Contributing Factors / Situations,Primary Problem,Narrative,Callback,Narrative,Callback,Synopsis,

1866482,202201,1201-1800,FRG.Airport,NY,,1.8,,600,,VMC,10,,,2000,,Tower FRG,Corporate,Small Transport; Low Wing; 2 Turbojet Eng,,2,Part 91,IFR,Passenger,,Final Approach,Visual Approach,Class D FRG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Aircraft X,Flight Deck,Corporate,Pilot Flying; Captain,Flight Crew Instrument; Flight Crew Multiengine; Flight Crew Air Transport Pilot (ATP),Flight Crew Last 90 Days 125; Flight Crew Total 14300; Flight Crew Type 3800,,Communication Breakdown; Confusion,Party1 Flight Crew; Party2 ATC,,1866482,,,,,,,,,,,,ATC Issue All Types; Deviation - Altitude Excursion From Assigned Altitude; Deviation / Discrepancy - Procedural Published Material / Policy; Deviation / Discrepancy - Procedural Clearance; Inflight Event / Encounter CFTT / CFIT,,,Automation Air Traffic Control; Person Air Traffic Control,In-flight,Air Traffic Control Issued Advisory / Alert; Flight Crew Returned To Clearance; Flight Crew Took Evasive Action; Flight Crew FLC complied w / Automation / Advisory,Procedure; Environment - Non Weather Related,Procedure,"After being vectored to the final RNAV approach fix were clear for visual approach Runway 32 at FRG; I desired to continue the RNAV approach already setup with visual condition and runway insight; but about 1.8 miles from the Airport and about 600 ft. Tower call me for low altitude advisory and ask to regain altitude or fix the condition which I did and continue the approach to Runway 32. Reason for this situation I have not clue as I was following approach altitudes according to the approach plate. We were in VMC condition and runway in sight even before got to the Final Approach fix. Thanks for your consideration.",,,,"Captain reported on visual approach receiving a confusing ATC low altitude alert.",
1866539,202201,0601-1200,ZZZ.Tower,US,,,,5000,,IMC,Rain,,Daylight,,,Tower ZZZ,Air Carrier,B737 Undifferentiated or Other Model,,2,Part 121,IFR,Passenger,,Final Approach,Vectors,Class B ZZZ,,,,,,,,,,,,,,,,,,,,,,,,PFD,,X,Malfunctioning,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Aircraft X,Flight Deck,Air Carrier,First Officer; Pilot Not Flying,Flight Crew Multiengine; Flight Crew Instrument; Flight Crew Air Transport Pilot (ATP),Flight Crew Last 90 Days 188; Flight Crew Total 972; Flight Crew Type 972,,Situational Awareness; Troubleshooting; Time Pressure,,,1866539,Aircraft X,Flight Deck,Air Carrier,Pilot Flying; Captain,Flight Crew Air Transport Pilot (ATP); Flight Crew Instrument; Flight Crew Multiengine,Flight Crew Last 90 Days 156; Flight Crew Total 3903; Flight Crew Type 3903,,Confusion; Distraction; Situational Awareness; Troubleshooting,,,1866536,Aircraft Equipment Problem Less Severe; Deviation - Speed All Types; Deviation / Discrepancy - Procedural Clearance; Deviation / Discrepancy - Procedural Published Material / Policy; Inflight Event / Encounter Weather / Turbulence,,N,Automation Aircraft Other Automation; Person Flight Crew,In-flight,Air Traffic Control Provided Assistance; Flight Crew Executed Go Around / Missed Approach; Flight Crew Overcame Equipment Problem; Flight Crew Requested ATC Assistance / Clarification; General Flight Cancelled / Delayed,Aircraft; Human Factors; Weather,Aircraft,"Was on approach into ZZZ at about midnight after about an hour delay getting out of ZZZ1. The approach had been through layers of icing and precipitation ranging from light to heavy. We were given a heading to intercept and cleared ILS [Runway] XXL at 2;500 feet. ATIS winds were 110/10. The CA (Captain) configured as normal and spun the speed back to target of 150 kts. (145 + 5). We were in heavy winds and rain at this point with no forward visibility. Tower reported winds at ~20020G35. The jet was now fully configured; all anti ice on; on glide slope and the automation was attempting to keep the speed at 150. I was just saying how we needed to add 10 knots when the jet bounced and the stick shaker went off. I did not note the speed but the CA pushed the throttles up and I spun the speed to 160. No upset call was made but the quick throttle advancement corrected the speed. It was about this time that the CA said he no longer had an ILS and his FD (Flight Director) was gone. I still had one at the time but it then went out. He announced a Go-Around and we climbed up to 5;000 feet. The automation was reestablished and we talked about the winds and divert. We figured we had 16 minutes before heading to ZZZ2. ZZZ decided to change runways to XYR and we were given short vectors back around. We agreed we were ready and made the approach. On the approach the same thing happened where the CA FD dropped and the jet went into CWS (Control Wheel Steering) at about 2;000 feet. Mine was still available and the CA transferred the aircraft to me. About that time mine was lost as well. The visibility was better on the XYR approach despite the heavy rain and winds. We could make out the runway so the CA took back the jet and made the approach visually. During the visual I recycled the FD which eventually brought back the FD and ILS before touchdown.",,"Intercepting the glide path on ILS final to Rwy (Runway) XXL at ZZZ; I responded to a momentary stick shaker with pitch and power; without an SOP compliant 'Upset' call and without first disconnecting the autopilot. Regaining airspeed; the CWS (Control Wheel Steering) Pitch and Roll annunciations alerted me to my error and I disconnected the autopilot. Anticipating continuing the approach; I asked the PNF (Pilot not Flying) to add appropriate airspeed to my target speed. Looking to my PFD (Primary Flight Display); my command bars and ILS guidance were out of view. I stated; 'I have lost the ILS on my PFD' and that we will have to take this one around. I announced 'Going around' and we executed a go around from approximately 1;700 feet AGL. Leveling at 5;000 feet MSL; we were vectored east and south of the airport for an approach to the reciprocal runway as the winds now favored the XYs. Again; after intercepting ILS course and glide-slope to XYR; Flight Director Guidance disappeared on my PFD. Cross checking; the FO (First Officer) had FD (Flight Director) command bars; I announced that I had lost my FD and directed the FO take control of the airplane. Almost immediately; his command bars disappears from view. As I had the field in sight; I retook control of the airplane and conducted the remainder of the approach visually to landing.Conditions upon our late arrival to ZZZ were rapidly changing. Light rain and light steady winds on ATIS during our descent brief had turned to heavy rain along final approach and the wind at the surface was reported to be 20020G35. While adjusting our target speed from 150 KIAS for the new tower reported winds; the momentary stick shaker occurred. Prior to the warning; we were stable with autopilot; auto-throttle; wing anti-ice and engine anti-ice on. The loss of ILS display prompted the go around as we did not yet have the field in sight. The same FD anomaly happened on our second approach; this time however; the field was in sight and a safe visual approach was conducted. The PNF cycled the FDs and was successful in returning FD ILS guidance inside of approximately 1;200 feet AGL. I suspect the weather front rapidly encroaching from the west created wind shear that lead to an approach to stall. As well; wing anti-ice use increased the stick shaker sensitivity. Fatigue; the late hour;(the entire sequence occurred between XA:45 and XB:15);the startle factor; and a continuation bias likely contributed to the improperly executed upset recovery procedure.",,"B737 flight crew reported a go-around caused by turbulence resulting in airspeed fluctuations. On approach to the reciprocal runways; both PFDs failed with The Captain able to see the runway and continue to land.",
1866927,202201,0601-1200,HPN.Airport,NY,,2,750,,,IMC,Fog; Rain; 6000,,Daylight,400,16,Tower HPN,Air Carrier,Medium Transport,,2,Part 135,IFR,Ferry / Re-Positioning,Localizer/Glideslope/ILS ILS 16,Final Approach,Vectors,Class C HPN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Aircraft X,Flight Deck,Air Taxi,First Officer; Pilot Not Flying,Flight Crew Air Transport Pilot (ATP); Flight Crew Flight Instructor; Flight Crew Instrument; Flight Crew Multiengine,Flight Crew Last 90 Days 85; Flight Crew Total 2435; Flight Crew Type 135,,Human-Machine Interface; Situational Awareness,,,1866927,,,,,,,,,,,,Deviation - Altitude Excursion From Assigned Altitude; Deviation - Speed All Types; Deviation / Discrepancy - Procedural Clearance; Deviation / Discrepancy - Procedural FAR; Deviation / Discrepancy - Procedural Published Material / Policy; Flight Deck / Cabin / Aircraft Event Other / Unknown; Inflight Event / Encounter CFTT / CFIT; Inflight Event / Encounter Unstabilized Approach,,,Automation Aircraft Terrain Warning; Automation Air Traffic Control; Person Air Traffic Control,In-flight,Air Traffic Control Issued Advisory / Alert; Flight Crew Returned To Clearance; Flight Crew Executed Go Around / Missed Approach; Flight Crew Took Evasive Action,Human Factors; Weather,Human Factors,"On Date at approximately XA:50 while working a trip as the First Officer and Pilot Monitoring from ZZZ to HPN; The Captain had an unstable approach going full deflection on the glide slope. During the approach into HPN; we were in IMC conditions. We were given the ILS 16. ATC vectored us onto the approach where the Captain armed the approach for an ILS 16. Continuing inbound the auto pilot did not capture the approach at that time. The Captain noticed the ILS was not captured; the LOC nor Glide Slope. I asked The Captain if we should perform a go around; he told me no. He tried to correct it by pressing V/S and manually putting our required descent rate in. This did not seem to work so the Captain discontinued the autopilot. The Captain proceeded to disconnect the autopilot in order to hand fly the aircraft to get it re-established on the approach. As he continued we ended up going full deflection on the glide slope. At approximately 750ft MSL and 2NM from 16 runways threshold. Tower advised we were not on the LOC and asked us if we had the correct altimeter in; which we did. Ceilings were at 400ft and visibility was around 1600ft. The tower advised we were low and we needed to go around. I advised the tower we were going around. As we initiated the go around we got a GPWS warning. We were given an assigned heading and altitude during the go around. The Captain may have exceeded airspeed limits in the D airspace going approximately 250knots before slowing. We performed the go around safely and completed checklists. We were able to get vectored back around to shoot the approach again. We loaded the ILS 16 and shot the approach for the second time. We loaded the approach which then activated properly following the localizer and glide slope. We were able to get out of IMC conditions before minimums and had sight of the Runway. The Captain disconnected the autopilot and landed the aircraft safely at HPN.",,,,"First Officer reported Captain flew an unstable approach resulting in GPWS alert and late go around to a landing.",
1866944,202201,0601-1200,ZZZ.Airport,US,,1,,1800,,VMC,10,,Daylight,12000,,CTAF ZZZ,FBO,Small Aircraft; High Wing; 1 Eng; Fixed Gear,,2,Part 91,None,Training,,Initial Approach,Visual Approach,Class E ZZZ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Small Aircraft; High Wing; 1 Eng; Fixed Gear,,,,,,,Landing,,Class E ZKC,,,,,,,,,,,,,,,,,,,,,,,,Aircraft X,Flight Deck,FBO,Instructor,Flight Crew Instrument; Flight Crew Multiengine; Flight Crew Commercial; Flight Crew Flight Instructor,,,Situational Awareness; Communication Breakdown,Party1 Flight Crew; Party2 Flight Crew,,1866944,,,,,,,,,,,,Conflict NMAC; Deviation / Discrepancy - Procedural Clearance; Deviation / Discrepancy - Procedural Published Material / Policy,Horizontal 800; Vertical 50,,Person Flight Crew,In-flight,Flight Crew Took Evasive Action,Procedure; Human Factors,Procedure,"Myself; and my Student were in the left downwind for Runway 36 at ZZZ. I was sitting in the left seat per school lesson requirements. Abeam our touchdown point we began a descent and began configuring for landing. As we reached a lower altitude which I cannot fully recall; approximately 1600-1700 MSL; I looked forward and saw what appeared to be an aircraft descending directly in front of us; on an eastern heading. As if they were approaching a base leg. I took the controls immediately and took action to avoid the aircraft; banking us to the right. This was our second lap in the pattern at ZZZ; and we had been making continuous position reports throughout; and had not heard anything from any other traffic in the area. I made a call to the traffic to let him know we were avoiding; to which there was no response. Still under control of the aircraft; I climbed us up to 2500 MSL; and instructed my Student to observe the traffic; He watched them land and take off; departing the area to the east. He then looked on software and found their tail number. Upon further investigation; neither myself; nor the Airport Manager; where we believed this aircraft to be based at; could find the Owner or Pilot flying the aircraft. I believe had I not seen the aircraft and taken immediate action; we were going to collide sometime in the base to final portion of our flight.",,,,"Flight Instructor reported the need to take evasive action on downwind to avoid a traffic conflict.",
1867042,202201,0601-1200,ZZZ.TRACON,US,,,,3000,,,,,,,,TRACON ZZZ,Air Carrier,A319,,2,Part 121,IFR,Passenger,,Initial Approach,,Class B ZZZ,,,,,,,,,,,,,,,,,,,,,,,,APU,,X,Malfunctioning,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Aircraft X,Flight Deck,Air Carrier,Pilot Not Flying; Captain,Flight Crew Air Transport Pilot (ATP); Flight Crew Instrument; Flight Crew Multiengine,,,Troubleshooting,,,1867042,,,,,,,,,,,,Aircraft Equipment Problem Less Severe; Deviation / Discrepancy - Procedural Published Material / Policy; Flight Deck / Cabin / Aircraft Event Smoke / Fire / Fumes / Odor,,,Person Flight Crew; Person Flight Attendant,In-flight,Flight Crew Overcame Equipment Problem; General Flight Cancelled / Delayed; General Maintenance Action,Aircraft,Aircraft,"At 3k feet Captain smells slight odor while on base leg for landing. Upon landing and after clearing  the runway aft fight attendant notified Captain of strong odor on approach and rollout but was dissipating once off the runway. Performed Smoke and Fumes checklist and taxied to the gate. Requested [airport support personnel] escort to our gate as a precaution and performed necessary checklist and paperwork. Fire and rescue detected traces of a strong volatile/organic odor with their equipment in the aft cabin. APU was MEL and flight crew made absolutely no attempts to start it.[Captain suggested an] increase preventative maintenance and repairs on fleet while moving towards decreasing reliance on MELs.",,,,"Air carrier Captain reported a fume event that was also reported by cabin crew during approach and landing. APU was deferred by maintenance at arrival gate.",
1867076,202201,1201-1800,ZZZ.TRACON,US,,,,4000,,VMC,,,Daylight,,,TRACON ZZZ,Air Carrier,Medium Transport,,2,Part 121,IFR,Passenger,,Final Approach,,Class B ZZZ,,,,,,,,,,,,,,,,,,,,,,,,Landing Gear Indicating System,,X,Malfunctioning,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Aircraft X,Flight Deck,Air Carrier,Captain; Pilot Flying,Flight Crew Multiengine; Flight Crew Instrument; Flight Crew Air Transport Pilot (ATP),,,Workload; Troubleshooting; Human-Machine Interface; Confusion; Communication Breakdown; Situational Awareness,Party1 Flight Crew; Party2 Flight Crew,,1867076,,,,,,,,,,,,Aircraft Equipment Problem Critical; Deviation / Discrepancy - Procedural Published Material / Policy,,N,Person Flight Crew,In-flight,Air Traffic Control Provided Assistance; Flight Crew Requested ATC Assistance / Clarification; Flight Crew Landed in Emergency Condition; Flight Crew Overcame Equipment Problem; General Flight Cancelled / Delayed; General Maintenance Action,Aircraft; Human Factors,Aircraft,"Nothing abnormal or anything out of the ordinary until calling for 'Gear down; landing checklist.' As soon as the First Officer finished his flow; he points to the landing gear indications and states that the right main gear isn't indicating locked; and still showing unsafe with the gear doors also open. He suggests a missed approach. I agree and we tell ZZZ Approach that we need to execute a missed approach for a landing gear unsafe indication. I was hand flying at the time; and starting down on glide path just under 4;000 feet MSL. Approach tells us to fly present heading and climb to 4;000 feet. I add power to climb; the First Officer sets the flight guidance; we take note of maintaining 215 or less; and the airspeed stays just under 200 knots. As we get vectored to downwind I [request priority handling] with ATC and we begin to run the alternate gear extension checklist. XX souls; about 1:20 minutes of fuel on board. Through conversation earlier on the trip; we had talked coincidentally about how long the alternate gear extension checklist takes; and to not dilly dally. I call the flight attendants and ask about what they can see with the landing gear; they say that they see them as both down and looking like they are in position. I make a PA to the passengers that we have a landing gear indicator light that isn't showing correctly and that we are going to run checklists to fix it. The First Officer ended up getting out of his seat to pump the main gear as the light didn't illuminate; and the alternate indications in the floor also showed that the right main was not secure. The alternate gear extension checklist did not fix the problem; as the First Officer moved onto the alternate gear extension failure checklist; I get on SATCOM and contact Maintenance Control. They tell us to run the associated checklists and ask our intentions; and then transfer us to Dispatch. We relay the events and what we had done; and I state my intentions again; to run the checklists as much as possible; then return to landing before we run out of gas no matter the outcome.At this point; ATC has us holding north of ZZZ1 at the ZZZZZ fix. There's a 50 knot wind out of the south; and I take note as to when we need to head towards the field to have fuel to land with. The alternate extension failure checklist does not produce results. We review gear unsafe landing checklist; then proceed to re-run the alternate gear extension checklist as driven by the failure checklist. No result. At this point we have about 1;800 pounds of fuel remaining; are north of ZZZ1 with a headwind; and I determine it's time to make for the airport. I call the flight attendants and advise them that we will be shutting down the #2 engine; and give them the [preparation] report for cabin prep; and brief our bracing signal of emergency lights on and brace brace brace over the PA when we get to about 500 feet. I then make a PA to the passengers about shutting down the engines and precautions of trucks on the runway; to follow Flight Attendant instructions; and thank them for their compliance. We review the gear unsafe landing checklist again; then go to the [specific] checklist to shut down the #2 engine in the event that the gear does collapse on landing. We shut down the engine; run the engine clean up items checklist; brief Runway XXL ILS; landing flaps 35 planning to land on the left side of the runway..and we proceed inbound. We configure early; the conditions were nice for a single engine approach; wind about 10 knots no ice; no turbulence; at 500 AFE turn on the emergency lights and give the brace signal over the PA and land. Come to a stop on the runway; and run the checklist to shut down the number 1 [engine]. We talk with Tower and Airport Ops about staying on the runway; and I try to figure out what's next. We have a tow team coming; but I ask about getting buses. Remembering the gear gets pinned during a tow; I feel confident about leaving passengers on board during the tow. I make a PA to the passengers about remaining in their seats and thanking them for their compliance. I step out of the plane to go talk with the tow team and notice that the gear doors are still open from the alternate gear extension checklist. I call Maintenance Control and they say to start an engine to energize the hydraulics to shut the door. I coordinate with the tow team and Airport Ops about starting the engine; then we will be towed to the gate. Getting back to the flight deck we secured all the doors; ran the originating and before start checklists. We attempted to start #1 and got no light off. Ran the engine start abort checklist. Tried to start #2; no light off. Ran abort checklist. I wasn't having a good day at this point; and when I had called Maintenance Control had noticed a text from Name; so I called Name for some grounding and guidance. As I said hello; I noticed both T handles were still pulled. I laughed to myself; and put them back in. We started the number 1 with no issue; energized the hydraulic systems; shut down the #1 and got towed to the gate. I had made announcements to the passengers before and during this process. At the gate; we deplaned normally. A Flight Attendant Supervisor was waiting; and talked with the flight attendants and removed them from flying for the rest of their day. Crew Scheduling tried to assign a ZZZ2 turn to the First Officer and he said he was fatigued. (I don't think they knew what just happened) then I got our crew together and debriefed a little bit. Talked about what we experienced; how we felt; and that we were all done for the day. Afterwords; I called Name again and told him the story that I'm writing now; and we talked about some of the choices and decisions that our crew had made. I felt like my First Officer; flight attendants and passengers had all done a remarkable job with the situation dealt to us. The mechanic who met us at the airplane had stated that the plane had recently undergone some extensive landing gear work; so maybe that was a part of the faulty indications. I'm grateful the gear worked as desired and I feel that shutting down the engine gave me a lot of confidence proceeding to the landing.  Same as aboveNext time I would restart all flows and reconfigure the airplane to a starting position after setting everything up for the engine start. The T handle situation I wish I had noticed; but I was parked on [Runway] XXL; had just had a rather stressful event; and we caught it eventually.I think a Sim Instructor would have done a good job resetting the plane; but it was my first time pulling T handles in the actual plane. I was very impressed how well the plane flew single engine; it really was a low stress aspect to the event. I also felt that choosing to shut down the engine mitigated a very large threat and danger to the passengers; so I stand by that decision.",,,,"Captain reported a landing gear unsafe indication on take off resulted in a return to departure airport and precautionary landing.",
1867077,202201,,ZZZ.Airport,US,,,,,,VMC,,Temperature - Extreme,Night,CLR,,Center ZZZ,Air Carrier,Medium Transport,,2,Part 121,IFR,Passenger,,Final Approach,Visual Approach,Class E ZZZ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Aircraft X,Flight Deck,Air Carrier,Pilot Flying; First Officer,Flight Crew Multiengine; Flight Crew Instrument; Flight Crew Air Transport Pilot (ATP),,,Situational Awareness; Fatigue; Confusion; Workload,,,1867077,,Flight Deck,Air Carrier,Pilot Not Flying; Captain,Flight Crew Multiengine; Flight Crew Instrument; Flight Crew Air Transport Pilot (ATP),,,Situational Awareness,,,1867079,Deviation - Altitude Overshoot; Deviation / Discrepancy - Procedural Published Material / Policy; Inflight Event / Encounter CFTT / CFIT,,,Automation Aircraft Terrain Warning; Person Flight Crew,In-flight,,Software and Automation; Weather; Airspace Structure; Chart Or Publication; Human Factors; Procedure,Weather,"On the 4th leg of the day and short overnight due to getting in 2 hrs late the night before. Leaving ZZZ1 to ZZZ; the weather was clear and planning for a Visual; but backing it up with an approach per the company night visual policy. We choose the RNAV XX due to wanting something other than the ILS and not having flown the RNAV XX other than in the simulator. Once airborne and talking to Center we got slowed to slowest possible speed due to a MedEvac ahead of us on an approach to ZZZ. The MedEvac canceled IFR and allowed us to get cleared for the RNAV XX. We briefed it up as a visual backed up by the RNAV so I did not brief the notes on the approach. Flying the approach when turning final; I notice the PAPI was showing 4 red and thought that odd. I prepared to disconnect Autopilot and climb to the Visual Glide Path; but wanted to see what the approach was doing. Due to being close to the airport and seeing the ridge prior to the airport; I did not want to look at the notes to see if there was a note about the VGSI not coincident. About 200 feet above minimums the GPWS gave a Terrain Terrain warning. I promptly disconnected the Autopilot and climbed to follow the VGSI. We landed safely and checked the altitude to see if our altimeter was set incorrectly. That checked within 10 feet. During the taxi to the ramp; I noticed the cold weather temp comp was required for temps less than -7 deg. When stated; the Captain said something like that should't be the factor; then he looked at the DATA card which was on his yoke; and noticed that the temp was -13 degrees. Captain commented that the cold temp would probably account for the couple hundred feet low on the approach. Lessons learned brief notes when we probably will be flying an approach that ATC clears us for. Try to incorporate Temp Comp which is currently not allowed with any FMS approach even for visual approaches.",,"While conducting a night Visual Approach to Runway XX in ZZZ; we received a terrain warning. It was night visual conditions; and we were using the RNAV XX for guidance. The reported temperature on the AWOS was -13; which is below what is authorized by the procedure. We had the runway in sight throughout the procedure; and noticed that we were below glideslope on final. The terrain warning occurred while we were correcting our altitude. Although we were following an instrument procedure for the night visual; the visual conditions probably lead to complacency in the approach briefing; leading to the note being missed for the procedure.",,"Flight crew reported receiving a Ground Proximity Warning while on final approach due to conducting the approach below the authorized minimum air temperature.",
1867082,202201,1201-1800,ZZZ.Airport,US,,,,,,VMC,,,Daylight,,,TRACON ZZZ1,Air Carrier,EMB ERJ 135 ER/LR,,2,Part 121,IFR,Passenger,,Initial Approach,,Class D ZZZ,,,,,,,,,,,,,,,,,,,,,,,,Trailing Edge Flap,,X,Malfunctioning,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Aircraft X,Flight Deck,Air Carrier,First Officer; Pilot Flying,Flight Crew Air Transport Pilot (ATP); Flight Crew Instrument; Flight Crew Multiengine,,,Troubleshooting,,,1867082,Aircraft X,Flight Deck,Air Carrier,Pilot Not Flying; Captain,Flight Crew Instrument; Flight Crew Multiengine; Flight Crew Air Transport Pilot (ATP),,,Troubleshooting,,,1867083,Aircraft Equipment Problem Critical; Deviation / Discrepancy - Procedural Published Material / Policy; Deviation / Discrepancy - Procedural Clearance,,N,Person Flight Crew,In-flight,Flight Crew Overcame Equipment Problem; Flight Crew Landed in Emergency Condition,Aircraft; Human Factors,Aircraft,"On Date on the RNAV XX for ZZZ when flaps 45 were selected we received a FLAPS FAIL EICAS message. Flaps indicated they had stuck at 37 degrees. Numbers had been ran for both 22 and 45 previously with flaps 45 planned. We chose to continue the approach and added +5kts to our Ref speed. Landing was normal without an issue. Flaps did not retract once on the ground.",,"While on final flying the RNAV to Runway XX in ZZZ on Date roughly XA50 local we received a FLAPS FAIL EICAS message. We had planned on a flaps 45 landing but the numbers had been run for flaps 22 as well and both performance data showed the landing would be in the green. While the flaps were tracking from 22-45 they failed at 37 degrees. We elected to continue the visual approach and added +5 on our ref and approach speed to match the flaps 22 numbers that were ran precautionary in flight.   Landed with out incident.",,"Flight Crew reported trailing edge flaps stuck at 37 degrees when flaps 45 degrees were selected. The flight crew continued the approach to successful landing.",
