threshold,precision,recall,f1
0.2,0.3698,0.8711,
0.3,,0.7956,
0.4,,0.6889,
0.5,0.6136,0.6,0.6067
0.6,,,
0.7,0.7627,,
0.8,0.8375,0.2978,
