model,precision,recall,f1,roc_auc,pr_auc,validation_rows,validation_unstable_cases
text_only_complete_case,0.5,0.2083,0.2941,0.8757,0.4439,271,24
text_plus_engineered_environment_complete_case,0.5455,0.25,0.3429,0.8101,0.3274,271,24
