threshold,precision,recall,f1,predicted_unstable_cases,predicted_non_unstable_cases
0.2,0.3698,0.8711,0.5192,530,987
0.3,0.4543,0.7956,0.5784,394,1123
0.4,0.5308,0.6889,0.5996,292,1225
0.5,0.6136,0.6,0.6067,220,1297
0.6,0.6788,0.4978,0.5744,165,1352
0.7,0.7627,0.4,0.5248,118,1399
0.8,0.8375,0.2978,0.4393,80,1437
