model,precision,recall,f1,roc_auc,pr_auc,validation_rows,validation_unstable_cases
best_text_only_logistic_regression,0.6136,0.6,0.6067,0.8933,0.6527,1517,225
text_plus_engineered_environment_logistic_regression,0.5991,0.5911,0.5951,0.891,0.6529,1517,225
