incident_year,total_rows,unstable_cases,unstable_rate_percent
2018,1559,200,12.83
2019,1558,196,12.58
2020,1159,146,12.6
2021,1217,132,10.85
2022,1364,129,9.46
2023,1213,144,11.87
2024,1517,225,14.83
2025,1578,298,18.88
